Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2009,S08000015,,65-74 years,,Male,,Stroke,17,,94.21414,,95.41981
2009,S08000015,,65-74 years,,Male,,Subarachnoid Haemorrhage,3,,16.62603,,16.96199
2009,S08000015,,65-74 years,,Female,,Cerebrovascular Disease,28,,137.0668,,139.0251
2009,S08000015,,65-74 years,,Female,,Stroke,18,,88.11435,,88.66486
2009,S08000015,,65-74 years,,Female,,Subarachnoid Haemorrhage,2,,9.790484,,9.816105
2009,S08000015,,under75 years,d,All,d,Cerebrovascular Disease,91,,26.648,,26.73403
2009,S08000015,,under75 years,d,All,d,Stroke,55,,16.10594,,16.21156
2009,S08000015,,under75 years,d,All,d,Subarachnoid Haemorrhage,15,,4.392528,,4.282095
2009,S08000015,,under75 years,d,Male,,Cerebrovascular Disease,49,,29.46854,,30.06162
2009,S08000015,,under75 years,d,Male,,Stroke,32,,19.24476,,19.55654
2009,S08000015,,under75 years,d,Male,,Subarachnoid Haemorrhage,6,,3.608393,,3.709656
2009,S08000015,,under75 years,d,Female,,Cerebrovascular Disease,42,,23.97123,,23.40643
2009,S08000015,,under75 years,d,Female,,Stroke,23,,13.1271,,12.86658
2009,S08000015,,under75 years,d,Female,,Subarachnoid Haemorrhage,9,,5.136693,,4.854533
2009,S08000015,,75plus years,,All,d,Cerebrovascular Disease,295,,953.4275,,1026.929
2009,S08000015,,75plus years,,All,d,Stroke,151,,488.0256,,525.7777
2009,S08000015,,75plus years,,All,d,Subarachnoid Haemorrhage,3,,9.695873,,8.05705
2009,S08000015,,75plus years,,Male,,Cerebrovascular Disease,93,,783.9501,,969.878
2009,S08000015,,75plus years,,Male,,Stroke,49,,413.049,,508.6578
2009,S08000015,,75plus years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S08000015,,75plus years,,Female,,Cerebrovascular Disease,202,,1058.811,,1083.981
2009,S08000015,,75plus years,,Female,,Stroke,102,,534.6472,,542.8976
2009,S08000015,,75plus years,,Female,,Subarachnoid Haemorrhage,3,,15.72492,,16.1141
2009,S08000016,,All,d,All,d,Cerebrovascular Disease,96,,84.51448,,87.29077
2009,S08000016,,All,d,All,d,Stroke,55,,48.41976,,50.61941
2009,S08000016,,All,d,All,d,Subarachnoid Haemorrhage,7,,6.162514,,5.290024
2009,S08000016,,All,d,Male,,Cerebrovascular Disease,32,,58.27612,,82.74581
2009,S08000016,,All,d,Male,,Stroke,20,,36.42257,,50.96398
2009,S08000016,,All,d,Male,,Subarachnoid Haemorrhage,2,,3.642257,,3.636342
2009,S08000016,,All,d,Female,,Cerebrovascular Disease,64,,109.068,,91.83572
2009,S08000016,,All,d,Female,,Stroke,35,,59.64655,,50.27483
2009,S08000016,,All,d,Female,,Subarachnoid Haemorrhage,5,,8.520936,,6.943706
2009,S08000016,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2009,S08000016,,0-44 years,,All,d,Stroke,0,,0,,0
2009,S08000016,,0-44 years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2009,S08000016,,0-44 years,,Male,,Cerebrovascular Disease,0,,0,,0
2009,S08000016,,0-44 years,,Male,,Stroke,0,,0,,0
2009,S08000016,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S08000016,,0-44 years,,Female,,Cerebrovascular Disease,0,,0,,0
2009,S08000016,,0-44 years,,Female,,Stroke,0,,0,,0
2009,S08000016,,0-44 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S08000016,,45-64 years,,All,d,Cerebrovascular Disease,10,,29.57442,,30.18122
2009,S08000016,,45-64 years,,All,d,Stroke,5,,14.78721,,14.97213
2009,S08000016,,45-64 years,,All,d,Subarachnoid Haemorrhage,2,,5.914885,,6.25708
2009,S08000016,,45-64 years,,Male,,Cerebrovascular Disease,5,,29.9958,,31.67158
2009,S08000016,,45-64 years,,Male,,Stroke,2,,11.99832,,12.6871
2009,S08000016,,45-64 years,,Male,,Subarachnoid Haemorrhage,1,,5.99916,,6.297382
2009,S08000016,,45-64 years,,Female,,Cerebrovascular Disease,5,,29.16472,,28.69087
2009,S08000016,,45-64 years,,Female,,Stroke,3,,17.49883,,17.25715
2009,S08000016,,45-64 years,,Female,,Subarachnoid Haemorrhage,1,,5.832944,,6.216779
2009,S08000016,,65-74 years,,All,d,Cerebrovascular Disease,7,,56.04484,,54.27706
2009,S08000016,,65-74 years,,All,d,Stroke,4,,32.02562,,31.18152
2009,S08000016,,65-74 years,,All,d,Subarachnoid Haemorrhage,1,,8.006405,,7.824359
2009,S08000016,,65-74 years,,Male,,Cerebrovascular Disease,1,,16.86341,,16.17195
2009,S08000016,,65-74 years,,Male,,Stroke,1,,16.86341,,16.17195
2009,S08000016,,65-74 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S08000016,,65-74 years,,Female,,Cerebrovascular Disease,6,,91.46341,,92.38216
2009,S08000016,,65-74 years,,Female,,Stroke,3,,45.73171,,46.19108
2009,S08000016,,65-74 years,,Female,,Subarachnoid Haemorrhage,1,,15.2439,,15.64872
2009,S08000016,,under75 years,d,All,d,Cerebrovascular Disease,17,,16.49845,,15.05178
2009,S08000016,,under75 years,d,All,d,Stroke,9,,8.734472,,7.957882
2009,S08000016,,under75 years,d,All,d,Subarachnoid Haemorrhage,3,,2.911491,,2.724927
2009,S08000016,,under75 years,d,Male,,Cerebrovascular Disease,6,,11.84787,,11.08904
2009,S08000016,,under75 years,d,Male,,Stroke,3,,5.923937,,5.560589
2009,S08000016,,under75 years,d,Male,,Subarachnoid Haemorrhage,1,,1.974646,,1.833853
2009,S08000016,,under75 years,d,Female,,Cerebrovascular Disease,11,,20.99317,,19.01451
2009,S08000016,,under75 years,d,Female,,Stroke,6,,11.45082,,10.35517
2009,S08000016,,under75 years,d,Female,,Subarachnoid Haemorrhage,2,,3.81694,,3.616002
2009,S08000016,,75plus years,,All,d,Cerebrovascular Disease,79,,748.8152,,817.7072
2009,S08000016,,75plus years,,All,d,Stroke,46,,436.019,,481.9748
2009,S08000016,,75plus years,,All,d,Subarachnoid Haemorrhage,4,,37.91469,,31.226
2009,S08000016,,75plus years,,Male,,Cerebrovascular Disease,26,,609.0419,,807.2754
2009,S08000016,,75plus years,,Male,,Stroke,17,,398.2197,,510.0427
2009,S08000016,,75plus years,,Male,,Subarachnoid Haemorrhage,1,,23.42469,,21.86151
2009,S08000016,,75plus years,,Female,,Cerebrovascular Disease,53,,843.8147,,828.139
2009,S08000016,,75plus years,,Female,,Stroke,29,,461.7099,,453.9069
2009,S08000016,,75plus years,,Female,,Subarachnoid Haemorrhage,3,,47.7631,,40.5905
2009,S08000017,,All,d,All,d,Cerebrovascular Disease,153,,101.2173,,95.15838
2009,S08000017,,All,d,All,d,Stroke,97,,64.17042,,58.75651
2009,S08000017,,All,d,All,d,Subarachnoid Haemorrhage,8,,5.292405,,4.538127
2009,S08000017,,All,d,Male,,Cerebrovascular Disease,55,,75.15817,,85.23665
2009,S08000017,,All,d,Male,,Stroke,31,,42.36188,,47.40644
2009,S08000017,,All,d,Male,,Subarachnoid Haemorrhage,1,,1.366512,,1.325507
2009,S08000017,,All,d,Female,,Cerebrovascular Disease,98,,125.6716,,105.0801
2009,S08000017,,All,d,Female,,Stroke,66,,84.636,,70.10657
2009,S08000017,,All,d,Female,,Subarachnoid Haemorrhage,7,,8.976546,,7.750747
2009,S08000017,,0-44 years,,All,d,Cerebrovascular Disease,2,,2.706323,,2.27049
2009,S08000017,,0-44 years,,All,d,Stroke,1,,1.353162,,1.160837
2009,S08000017,,0-44 years,,All,d,Subarachnoid Haemorrhage,1,,1.353162,,1.109653
2009,S08000017,,0-44 years,,Male,,Cerebrovascular Disease,1,,2.723608,,2.321674
2009,S08000017,,0-44 years,,Male,,Stroke,1,,2.723608,,2.321674
2009,S08000017,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S08000017,,0-44 years,,Female,,Cerebrovascular Disease,1,,2.689256,,2.219305
2009,S08000017,,0-44 years,,Female,,Stroke,0,,0,,0
2009,S08000017,,0-44 years,,Female,,Subarachnoid Haemorrhage,1,,2.689256,,2.219305
2009,S08000017,,45-64 years,,All,d,Cerebrovascular Disease,11,,24.45749,,24.78216
2009,S08000017,,45-64 years,,All,d,Stroke,7,,15.56386,,15.64718
2009,S08000017,,45-64 years,,All,d,Subarachnoid Haemorrhage,4,,8.893632,,9.134975
2009,S08000017,,45-64 years,,Male,,Cerebrovascular Disease,6,,27.30624,,28.50095
2009,S08000017,,45-64 years,,Male,,Stroke,5,,22.7552,,23.49904
2009,S08000017,,45-64 years,,Male,,Subarachnoid Haemorrhage,1,,4.55104,,5.001911
2009,S08000017,,45-64 years,,Female,,Cerebrovascular Disease,5,,21.7363,,21.06336
2009,S08000017,,45-64 years,,Female,,Stroke,2,,8.694518,,7.795321
2009,S08000017,,45-64 years,,Female,,Subarachnoid Haemorrhage,3,,13.04178,,13.26804
2009,S08000017,,65-74 years,,All,d,Cerebrovascular Disease,19,,107.5512,,107.8321
2009,S08000017,,65-74 years,,All,d,Stroke,15,,84.90886,,84.09532
2009,S08000017,,65-74 years,,All,d,Subarachnoid Haemorrhage,1,,5.660591,,5.730331
2009,S08000017,,65-74 years,,Male,,Cerebrovascular Disease,7,,82.15962,,82.96416
2009,S08000017,,65-74 years,,Male,,Stroke,5,,58.68545,,58.41193
2009,S08000017,,65-74 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S08000017,,65-74 years,,Female,,Cerebrovascular Disease,12,,131.2049,,132.7
2009,S08000017,,65-74 years,,Female,,Stroke,10,,109.3374,,109.7787
2009,S08000017,,65-74 years,,Female,,Subarachnoid Haemorrhage,1,,10.93374,,11.46066
2009,S08000017,,under75 years,d,All,d,Cerebrovascular Disease,32,,23.43584,,21.00627
2009,S08000017,,under75 years,d,All,d,Stroke,23,,16.84451,,14.94875
2009,S08000017,,under75 years,d,All,d,Subarachnoid Haemorrhage,6,,4.39422,,3.979852
2009,S08000017,,under75 years,d,Male,,Cerebrovascular Disease,14,,20.83054,,19.25021
2009,S08000017,,under75 years,d,Male,,Stroke,11,,16.36686,,14.96066
2009,S08000017,,under75 years,d,Male,,Subarachnoid Haemorrhage,1,,1.487896,,1.456601
2009,S08000017,,under75 years,d,Female,,Cerebrovascular Disease,18,,25.96129,,22.76233
2009,S08000017,,under75 years,d,Female,,Stroke,12,,17.30753,,14.93684
2009,S08000017,,under75 years,d,Female,,Subarachnoid Haemorrhage,5,,7.211469,,6.503104
2009,S08000017,,75plus years,,All,d,Cerebrovascular Disease,121,,827.8032,,844.9186
2009,S08000017,,75plus years,,All,d,Stroke,74,,506.2598,,501.7016
2009,S08000017,,75plus years,,All,d,Subarachnoid Haemorrhage,2,,13.6827,,10.1829
2009,S08000017,,75plus years,,Male,,Cerebrovascular Disease,41,,686.7672,,752.4328
2009,S08000017,,75plus years,,Male,,Stroke,20,,335.0084,,375.4693
2009,S08000017,,75plus years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S08000017,,75plus years,,Female,,Cerebrovascular Disease,80,,925.1764,,937.4044
2009,S08000017,,75plus years,,Female,,Stroke,54,,624.494,,627.9339
2009,S08000017,,75plus years,,Female,,Subarachnoid Haemorrhage,2,,23.12941,,20.36581
2009,S08000018,,All,d,All,d,Cerebrovascular Disease,321,,88.81634,,108.0523
2009,S08000018,,All,d,All,d,Stroke,179,,49.52687,,56.36584
2009,S08000018,,All,d,All,d,Subarachnoid Haemorrhage,10,,2.766864,,2.69792
2009,S08000018,,All,d,Male,,Cerebrovascular Disease,119,,68.15032,,108.3488
2009,S08000018,,All,d,Male,,Stroke,59,,33.78881,,49.10674
2009,S08000018,,All,d,Male,,Subarachnoid Haemorrhage,2,,1.145384,,1.337626
2009,S08000018,,All,d,Female,,Cerebrovascular Disease,202,,108.1336,,107.7557
2009,S08000018,,All,d,Female,,Stroke,120,,64.23777,,63.62494
2009,S08000018,,All,d,Female,,Subarachnoid Haemorrhage,8,,4.282518,,4.058213
2009,S08000018,,0-44 years,,All,d,Cerebrovascular Disease,2,,1.002597,,0.970366
2009,S08000018,,0-44 years,,All,d,Stroke,0,,0,,0
2009,S08000018,,0-44 years,,All,d,Subarachnoid Haemorrhage,2,,1.002597,,0.970366
2009,S08000018,,0-44 years,,Male,,Cerebrovascular Disease,0,,0,,0
2009,S08000018,,0-44 years,,Male,,Stroke,0,,0,,0
2009,S08000018,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S08000018,,0-44 years,,Female,,Cerebrovascular Disease,2,,1.988823,,1.940733
2009,S08000018,,0-44 years,,Female,,Stroke,0,,0,,0
2009,S08000018,,0-44 years,,Female,,Subarachnoid Haemorrhage,2,,1.988823,,1.940733
2009,S08000018,,45-64 years,,All,d,Cerebrovascular Disease,13,,13.03141,,13.25188
2009,S08000018,,45-64 years,,All,d,Stroke,8,,8.019327,,8.132701
2009,S08000018,,45-64 years,,All,d,Subarachnoid Haemorrhage,3,,3.007247,,2.934423
2009,S08000018,,45-64 years,,Male,,Cerebrovascular Disease,5,,10.25031,,10.60257
2009,S08000018,,45-64 years,,Male,,Stroke,2,,4.100125,,4.073722
2009,S08000018,,45-64 years,,Male,,Subarachnoid Haemorrhage,1,,2.050063,,2.159331
2009,S08000018,,45-64 years,,Female,,Cerebrovascular Disease,8,,15.69243,,15.90119
2009,S08000018,,45-64 years,,Female,,Stroke,6,,11.76932,,12.19168
2009,S08000018,,45-64 years,,Female,,Subarachnoid Haemorrhage,2,,3.923107,,3.709516
2009,S08000018,,65-74 years,,All,d,Cerebrovascular Disease,39,,114.3025,,114.9418
2009,S08000018,,65-74 years,,All,d,Stroke,29,,84.99414,,84.57136
2009,S08000018,,65-74 years,,All,d,Subarachnoid Haemorrhage,2,,5.861665,,5.524494
2009,S08000018,,65-74 years,,Male,,Cerebrovascular Disease,16,,100.0688,,101.9222
2009,S08000018,,65-74 years,,Male,,Stroke,10,,62.543,,63.53588
2009,S08000018,,65-74 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S08000018,,65-74 years,,Female,,Cerebrovascular Disease,23,,126.8546,,127.9614
2009,S08000018,,65-74 years,,Female,,Stroke,19,,104.7929,,105.6068
2009,S08000018,,65-74 years,,Female,,Subarachnoid Haemorrhage,2,,11.03083,,11.04899
2009,S08000018,,under75 years,d,All,d,Cerebrovascular Disease,54,,16.19866,,17.6974
2009,S08000018,,under75 years,d,All,d,Stroke,37,,11.09908,,12.12655
2009,S08000018,,under75 years,d,All,d,Subarachnoid Haemorrhage,7,,2.099826,,2.067793
2009,S08000018,,under75 years,d,Male,,Cerebrovascular Disease,21,,12.82928,,14.84781
2009,S08000018,,under75 years,d,Male,,Stroke,12,,7.33102,,8.517367
2009,S08000018,,under75 years,d,Male,,Subarachnoid Haemorrhage,1,,0.610918,,0.628816
2009,S08000018,,under75 years,d,Female,,Cerebrovascular Disease,33,,19.44918,,20.54699
2009,S08000018,,under75 years,d,Female,,Stroke,25,,14.73422,,15.73573
2009,S08000018,,under75 years,d,Female,,Subarachnoid Haemorrhage,6,,3.536214,,3.50677
2009,S08000018,,75plus years,,All,d,Cerebrovascular Disease,267,,951.5663,,1021.64
2009,S08000018,,75plus years,,All,d,Stroke,142,,506.0765,,503.6743
2009,S08000018,,75plus years,,All,d,Subarachnoid Haemorrhage,3,,10.69176,,9.069199
2009,S08000018,,75plus years,,Male,,Cerebrovascular Disease,98,,896.9431,,1053.748
2009,S08000018,,75plus years,,Male,,Stroke,47,,430.1666,,459.5104
2009,S08000018,,75plus years,,Male,,Subarachnoid Haemorrhage,1,,9.15248,,8.504486
2009,S08000018,,75plus years,,Female,,Cerebrovascular Disease,169,,986.4005,,989.5325
2009,S08000018,,75plus years,,Female,,Stroke,95,,554.4855,,547.8381
2009,S08000018,,75plus years,,Female,,Subarachnoid Haemorrhage,2,,11.67338,,9.633911
2009,S08000019,,All,d,All,d,Cerebrovascular Disease,283,,96.19634,,121.395
2009,S08000019,,All,d,All,d,Stroke,149,,50.64754,,60.62975
2009,S08000019,,All,d,All,d,Subarachnoid Haemorrhage,9,,3.059247,,2.998137
2009,S08000019,,All,d,Male,,Cerebrovascular Disease,87,,61.02266,,101.5893
2009,S08000019,,All,d,Male,,Stroke,44,,30.86203,,46.58074
2009,S08000019,,All,d,Male,,Subarachnoid Haemorrhage,2,,1.40282,,1.410732
2009,S08000019,,All,d,Female,,Cerebrovascular Disease,196,,129.2705,,141.2007
2009,S08000019,,All,d,Female,,Stroke,105,,69.25208,,74.67877
2009,S08000019,,All,d,Female,,Subarachnoid Haemorrhage,7,,4.616805,,4.585542
2009,S08000019,,0-44 years,,All,d,Cerebrovascular Disease,5,,2.997189,,2.837709
2009,S08000019,,0-44 years,,All,d,Stroke,1,,0.599438,,0.528324
2009,S08000019,,0-44 years,,All,d,Subarachnoid Haemorrhage,3,,1.798313,,1.756781
2009,S08000019,,0-44 years,,Male,,Cerebrovascular Disease,2,,2.412603,,2.382597
2009,S08000019,,0-44 years,,Male,,Stroke,0,,0,,0
2009,S08000019,,0-44 years,,Male,,Subarachnoid Haemorrhage,1,,1.206302,,1.277391
2009,S08000019,,0-44 years,,Female,,Cerebrovascular Disease,3,,3.57462,,3.29282
2009,S08000019,,0-44 years,,Female,,Stroke,1,,1.19154,,1.056648
2009,S08000019,,0-44 years,,Female,,Subarachnoid Haemorrhage,2,,2.38308,,2.236172
2009,S08000019,,45-64 years,,All,d,Cerebrovascular Disease,15,,18.81444,,18.77799
2009,S08000019,,45-64 years,,All,d,Stroke,8,,10.03437,,10.0256
2009,S08000019,,45-64 years,,All,d,Subarachnoid Haemorrhage,3,,3.762888,,3.806941
2009,S08000019,,45-64 years,,Male,,Cerebrovascular Disease,6,,15.33194,,15.25131
2009,S08000019,,45-64 years,,Male,,Stroke,4,,10.22129,,10.03694
2009,S08000019,,45-64 years,,Male,,Subarachnoid Haemorrhage,1,,2.555323,,2.72053
2009,S08000019,,45-64 years,,Female,,Cerebrovascular Disease,9,,22.17186,,22.30467
2009,S08000019,,45-64 years,,Female,,Stroke,4,,9.854158,,10.01425
2009,S08000019,,45-64 years,,Female,,Subarachnoid Haemorrhage,2,,4.927079,,4.893352
2009,S08000019,,65-74 years,,All,d,Cerebrovascular Disease,31,,115.3445,,114.4675
2009,S08000019,,65-74 years,,All,d,Stroke,19,,70.69504,,70.02631
2009,S08000019,,65-74 years,,All,d,Subarachnoid Haemorrhage,2,,7.441584,,7.066189
2009,S08000019,,65-74 years,,Male,,Cerebrovascular Disease,11,,88.11984,,89.39194
2009,S08000019,,65-74 years,,Male,,Stroke,7,,56.07626,,56.59385
2009,S08000019,,65-74 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S08000019,,65-74 years,,Female,,Cerebrovascular Disease,20,,138.9564,,139.5431
2009,S08000019,,65-74 years,,Female,,Stroke,12,,83.37386,,83.45876
2009,S08000019,,65-74 years,,Female,,Subarachnoid Haemorrhage,2,,13.89564,,14.13238
2009,S08000019,,under75 years,d,All,d,Cerebrovascular Disease,51,,18.65228,,20.36002
2009,S08000019,,under75 years,d,All,d,Stroke,28,,10.24047,,11.31301
2009,S08000019,,under75 years,d,All,d,Subarachnoid Haemorrhage,8,,2.925848,,2.96643
2009,S08000019,,under75 years,d,Male,,Cerebrovascular Disease,19,,14.12482,,16.16962
2009,S08000019,,under75 years,d,Male,,Stroke,11,,8.177527,,9.452906
2009,S08000019,,under75 years,d,Male,,Subarachnoid Haemorrhage,2,,1.486823,,1.550255
2009,S08000019,,under75 years,d,Female,,Cerebrovascular Disease,32,,23.0365,,24.55043
2009,S08000019,,under75 years,d,Female,,Stroke,17,,12.23814,,13.17312
2009,S08000019,,under75 years,d,Female,,Subarachnoid Haemorrhage,6,,4.319343,,4.382605
2009,S08000019,,75plus years,,All,d,Cerebrovascular Disease,232,,1117.265,,1142.971
