Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2009,S92000003,d,75plus years,,All,d,Cerebrovascular Disease,3866,,974.03,,1047.43
2009,S92000003,d,75plus years,,All,d,Stroke,2107,,530.85,,546.85
2009,S92000003,d,75plus years,,All,d,Subarachnoid Haemorrhage,48,,12.09,,10.97
2009,S92000003,d,75plus years,,Male,,Cerebrovascular Disease,1289,,852.89,,1025.75
2009,S92000003,d,75plus years,,Male,,Stroke,655,,433.39,,496.28
2009,S92000003,d,75plus years,,Male,,Subarachnoid Haemorrhage,11,,7.28,,7.68
2009,S92000003,d,75plus years,,Female,,Cerebrovascular Disease,2577,,1048.52,,1069.11
2009,S92000003,d,75plus years,,Female,,Stroke,1452,,590.78,,597.41
2009,S92000003,d,75plus years,,Female,,Subarachnoid Haemorrhage,37,,15.05,,14.26
2009,S12000005,,All,d,All,d,Cerebrovascular Disease,42,,81.89,,107.25
2009,S12000005,,All,d,All,d,Stroke,23,,44.84,,59.57
2009,S12000005,,All,d,All,d,Subarachnoid Haemorrhage,3,,5.85,,5.5
2009,S12000005,,All,d,Male,,Cerebrovascular Disease,12,,47.99,,73.36
2009,S12000005,,All,d,Male,,Stroke,7,,27.99,,45.85
2009,S12000005,,All,d,Male,,Subarachnoid Haemorrhage,1,,4,,4
2009,S12000005,,All,d,Female,,Cerebrovascular Disease,30,,114.14,,141.14
2009,S12000005,,All,d,Female,,Stroke,16,,60.88,,73.28
2009,S12000005,,All,d,Female,,Subarachnoid Haemorrhage,2,,7.61,,7
2009,S12000005,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,9.53
2009,S12000005,,0-44 years,,All,d,Stroke,0,,0,,0
2009,S12000005,,0-44 years,,All,d,Subarachnoid Haemorrhage,,c,,c,6.48
2009,S12000005,,0-44 years,,Male,,Cerebrovascular Disease,,c,,c,6.1
2009,S12000005,,0-44 years,,Male,,Stroke,0,,0,,0
2009,S12000005,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000005,,0-44 years,,Female,,Cerebrovascular Disease,,c,,c,12.96
2009,S12000005,,0-44 years,,Female,,Stroke,0,,0,,0
2009,S12000005,,0-44 years,,Female,,Subarachnoid Haemorrhage,,c,,c,12.96
2009,S12000005,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,28.51
2009,S12000005,,45-64 years,,All,d,Stroke,,c,,c,13.86
2009,S12000005,,45-64 years,,All,d,Subarachnoid Haemorrhage,,c,,c,7.54
2009,S12000005,,45-64 years,,Male,,Cerebrovascular Disease,,c,,c,28.57
2009,S12000005,,45-64 years,,Male,,Stroke,,c,,c,13.49
2009,S12000005,,45-64 years,,Male,,Subarachnoid Haemorrhage,,c,,c,15.08
2009,S12000005,,45-64 years,,Female,,Cerebrovascular Disease,,c,,c,28.46
2009,S12000005,,45-64 years,,Female,,Stroke,,c,,c,14.23
2009,S12000005,,45-64 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000005,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,42.29
2009,S12000005,,65-74 years,,All,d,Stroke,,c,,c,42.29
2009,S12000005,,65-74 years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000005,,65-74 years,,Male,,Cerebrovascular Disease,0,,0,,0
2009,S12000005,,65-74 years,,Male,,Stroke,0,,0,,0
2009,S12000005,,65-74 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000005,,65-74 years,,Female,,Cerebrovascular Disease,,c,,c,84.58
2009,S12000005,,65-74 years,,Female,,Stroke,,c,,c,84.58
2009,S12000005,,65-74 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000005,,under75 years,d,All,d,Cerebrovascular Disease,,c,,c,18.84
2009,S12000005,,under75 years,d,All,d,Stroke,,c,,c,8.92
2009,S12000005,,under75 years,d,All,d,Subarachnoid Haemorrhage,,c,,c,6.04
2009,S12000005,,under75 years,d,Male,,Cerebrovascular Disease,,c,,c,11.94
2009,S12000005,,under75 years,d,Male,,Stroke,,c,,c,3.93
2009,S12000005,,under75 years,d,Male,,Subarachnoid Haemorrhage,,c,,c,4.39
2009,S12000005,,under75 years,d,Female,,Cerebrovascular Disease,,c,,c,25.74
2009,S12000005,,under75 years,d,Female,,Stroke,,c,,c,13.9
2009,S12000005,,under75 years,d,Female,,Subarachnoid Haemorrhage,,c,,c,7.69
2009,S12000005,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,1001.19
2009,S12000005,,75plus years,,All,d,Stroke,,c,,c,571.69
2009,S12000005,,75plus years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000005,,75plus years,,Male,,Cerebrovascular Disease,,c,,c,694.33
2009,S12000005,,75plus years,,Male,,Stroke,,c,,c,469.69
2009,S12000005,,75plus years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000005,,75plus years,,Female,,Cerebrovascular Disease,,c,,c,1308.05
2009,S12000005,,75plus years,,Female,,Stroke,,c,,c,673.7
2009,S12000005,,75plus years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000006,,All,d,All,d,Cerebrovascular Disease,153,,101.22,,95.16
2009,S12000006,,All,d,All,d,Stroke,97,,64.17,,58.76
2009,S12000006,,All,d,All,d,Subarachnoid Haemorrhage,8,,5.29,,4.54
2009,S12000006,,All,d,Male,,Cerebrovascular Disease,55,,75.16,,85.24
2009,S12000006,,All,d,Male,,Stroke,31,,42.36,,47.41
2009,S12000006,,All,d,Male,,Subarachnoid Haemorrhage,1,,1.37,,1.33
2009,S12000006,,All,d,Female,,Cerebrovascular Disease,98,,125.67,,105.08
2009,S12000006,,All,d,Female,,Stroke,66,,84.64,,70.11
2009,S12000006,,All,d,Female,,Subarachnoid Haemorrhage,7,,8.98,,7.75
2009,S12000006,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,2.27
2009,S12000006,,0-44 years,,All,d,Stroke,,c,,c,1.16
2009,S12000006,,0-44 years,,All,d,Subarachnoid Haemorrhage,,c,,c,1.11
2009,S12000006,,0-44 years,,Male,,Cerebrovascular Disease,,c,,c,2.32
2009,S12000006,,0-44 years,,Male,,Stroke,,c,,c,2.32
2009,S12000006,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000006,,0-44 years,,Female,,Cerebrovascular Disease,,c,,c,2.22
2009,S12000006,,0-44 years,,Female,,Stroke,0,,0,,0
2009,S12000006,,0-44 years,,Female,,Subarachnoid Haemorrhage,,c,,c,2.22
2009,S12000006,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,24.78
2009,S12000006,,45-64 years,,All,d,Stroke,,c,,c,15.65
2009,S12000006,,45-64 years,,All,d,Subarachnoid Haemorrhage,,c,,c,9.13
2009,S12000006,,45-64 years,,Male,,Cerebrovascular Disease,,c,,c,28.5
2009,S12000006,,45-64 years,,Male,,Stroke,,c,,c,23.5
2009,S12000006,,45-64 years,,Male,,Subarachnoid Haemorrhage,,c,,c,5
2009,S12000006,,45-64 years,,Female,,Cerebrovascular Disease,,c,,c,21.06
2009,S12000006,,45-64 years,,Female,,Stroke,,c,,c,7.8
2009,S12000006,,45-64 years,,Female,,Subarachnoid Haemorrhage,,c,,c,13.27
2009,S12000006,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,107.83
2009,S12000006,,65-74 years,,All,d,Stroke,,c,,c,84.1
2009,S12000006,,65-74 years,,All,d,Subarachnoid Haemorrhage,,c,,c,5.73
2009,S12000006,,65-74 years,,Male,,Cerebrovascular Disease,,c,,c,82.96
2009,S12000006,,65-74 years,,Male,,Stroke,,c,,c,58.41
2009,S12000006,,65-74 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000006,,65-74 years,,Female,,Cerebrovascular Disease,,c,,c,132.7
2009,S12000006,,65-74 years,,Female,,Stroke,,c,,c,109.78
2009,S12000006,,65-74 years,,Female,,Subarachnoid Haemorrhage,,c,,c,11.46
2009,S12000006,,under75 years,d,All,d,Cerebrovascular Disease,,c,,c,21.01
2009,S12000006,,under75 years,d,All,d,Stroke,,c,,c,14.95
2009,S12000006,,under75 years,d,All,d,Subarachnoid Haemorrhage,,c,,c,3.98
2009,S12000006,,under75 years,d,Male,,Cerebrovascular Disease,,c,,c,19.25
2009,S12000006,,under75 years,d,Male,,Stroke,,c,,c,14.96
2009,S12000006,,under75 years,d,Male,,Subarachnoid Haemorrhage,,c,,c,1.46
2009,S12000006,,under75 years,d,Female,,Cerebrovascular Disease,,c,,c,22.76
2009,S12000006,,under75 years,d,Female,,Stroke,,c,,c,14.94
2009,S12000006,,under75 years,d,Female,,Subarachnoid Haemorrhage,,c,,c,6.5
2009,S12000006,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,844.92
2009,S12000006,,75plus years,,All,d,Stroke,,c,,c,501.7
2009,S12000006,,75plus years,,All,d,Subarachnoid Haemorrhage,,c,,c,10.18
2009,S12000006,,75plus years,,Male,,Cerebrovascular Disease,,c,,c,752.43
2009,S12000006,,75plus years,,Male,,Stroke,,c,,c,375.47
2009,S12000006,,75plus years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000006,,75plus years,,Female,,Cerebrovascular Disease,,c,,c,937.4
2009,S12000006,,75plus years,,Female,,Stroke,,c,,c,627.93
2009,S12000006,,75plus years,,Female,,Subarachnoid Haemorrhage,,c,,c,20.37
2009,S12000008,,All,d,All,d,Cerebrovascular Disease,108,,88.44,,115.69
2009,S12000008,,All,d,All,d,Stroke,58,,47.5,,62.87
2009,S12000008,,All,d,All,d,Subarachnoid Haemorrhage,6,,4.91,,5.14
2009,S12000008,,All,d,Male,,Cerebrovascular Disease,39,,66.02,,117.7
2009,S12000008,,All,d,Male,,Stroke,23,,38.93,,67.09
2009,S12000008,,All,d,Male,,Subarachnoid Haemorrhage,3,,5.08,,5.39
2009,S12000008,,All,d,Female,,Cerebrovascular Disease,69,,109.47,,113.68
2009,S12000008,,All,d,Female,,Stroke,35,,55.53,,58.66
2009,S12000008,,All,d,Female,,Subarachnoid Haemorrhage,3,,4.76,,4.88
2009,S12000008,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.59
2009,S12000008,,0-44 years,,All,d,Stroke,,c,,c,1.59
2009,S12000008,,0-44 years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000008,,0-44 years,,Male,,Cerebrovascular Disease,,c,,c,3.18
2009,S12000008,,0-44 years,,Male,,Stroke,,c,,c,3.18
2009,S12000008,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000008,,0-44 years,,Female,,Cerebrovascular Disease,0,,0,,0
2009,S12000008,,0-44 years,,Female,,Stroke,0,,0,,0
2009,S12000008,,0-44 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000008,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,20.85
2009,S12000008,,45-64 years,,All,d,Stroke,,c,,c,17.92
2009,S12000008,,45-64 years,,All,d,Subarachnoid Haemorrhage,,c,,c,2.93
2009,S12000008,,45-64 years,,Male,,Cerebrovascular Disease,,c,,c,36.26
2009,S12000008,,45-64 years,,Male,,Stroke,,c,,c,30.4
2009,S12000008,,45-64 years,,Male,,Subarachnoid Haemorrhage,,c,,c,5.86
2009,S12000008,,45-64 years,,Female,,Cerebrovascular Disease,,c,,c,5.43
2009,S12000008,,45-64 years,,Female,,Stroke,,c,,c,5.43
2009,S12000008,,45-64 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000008,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,145
2009,S12000008,,65-74 years,,All,d,Stroke,,c,,c,83.49
2009,S12000008,,65-74 years,,All,d,Subarachnoid Haemorrhage,,c,,c,18.27
2009,S12000008,,65-74 years,,Male,,Cerebrovascular Disease,,c,,c,92.16
2009,S12000008,,65-74 years,,Male,,Stroke,,c,,c,36.54
2009,S12000008,,65-74 years,,Male,,Subarachnoid Haemorrhage,,c,,c,36.54
2009,S12000008,,65-74 years,,Female,,Cerebrovascular Disease,,c,,c,197.84
2009,S12000008,,65-74 years,,Female,,Stroke,,c,,c,130.43
2009,S12000008,,65-74 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000008,,under75 years,d,All,d,Cerebrovascular Disease,,c,,c,23.74
2009,S12000008,,under75 years,d,All,d,Stroke,,c,,c,15.79
2009,S12000008,,under75 years,d,All,d,Subarachnoid Haemorrhage,,c,,c,2.96
2009,S12000008,,under75 years,d,Male,,Cerebrovascular Disease,,c,,c,23.08
2009,S12000008,,under75 years,d,Male,,Stroke,,c,,c,14.96
2009,S12000008,,under75 years,d,Male,,Subarachnoid Haemorrhage,,c,,c,5.92
2009,S12000008,,under75 years,d,Female,,Cerebrovascular Disease,,c,,c,24.41
2009,S12000008,,under75 years,d,Female,,Stroke,,c,,c,16.63
2009,S12000008,,under75 years,d,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000008,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,1045.34
2009,S12000008,,75plus years,,All,d,Stroke,,c,,c,538.9
2009,S12000008,,75plus years,,All,d,Subarachnoid Haemorrhage,,c,,c,27.12
2009,S12000008,,75plus years,,Male,,Cerebrovascular Disease,,c,,c,1074.4
2009,S12000008,,75plus years,,Male,,Stroke,,c,,c,594.24
2009,S12000008,,75plus years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000008,,75plus years,,Female,,Cerebrovascular Disease,,c,,c,1016.27
2009,S12000008,,75plus years,,Female,,Stroke,,c,,c,483.56
2009,S12000008,,75plus years,,Female,,Subarachnoid Haemorrhage,,c,,c,54.23
2009,S12000010,,All,d,All,d,Cerebrovascular Disease,104,,105.76,,127.58
2009,S12000010,,All,d,All,d,Stroke,56,,56.95,,67.15
2009,S12000010,,All,d,All,d,Subarachnoid Haemorrhage,5,,5.08,,4.99
2009,S12000010,,All,d,Male,,Cerebrovascular Disease,40,,84.88,,130.54
2009,S12000010,,All,d,Male,,Stroke,23,,48.81,,69.82
2009,S12000010,,All,d,Male,,Subarachnoid Haemorrhage,2,,4.24,,4.21
2009,S12000010,,All,d,Female,,Cerebrovascular Disease,64,,124.96,,124.62
2009,S12000010,,All,d,Female,,Stroke,33,,64.43,,64.48
2009,S12000010,,All,d,Female,,Subarachnoid Haemorrhage,3,,5.86,,5.77
2009,S12000010,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2009,S12000010,,0-44 years,,All,d,Stroke,0,,0,,0
2009,S12000010,,0-44 years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000010,,0-44 years,,Male,,Cerebrovascular Disease,0,,0,,0
2009,S12000010,,0-44 years,,Male,,Stroke,0,,0,,0
2009,S12000010,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000010,,0-44 years,,Female,,Cerebrovascular Disease,0,,0,,0
2009,S12000010,,0-44 years,,Female,,Stroke,0,,0,,0
2009,S12000010,,0-44 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000010,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,22.45
2009,S12000010,,45-64 years,,All,d,Stroke,,c,,c,10.93
2009,S12000010,,45-64 years,,All,d,Subarachnoid Haemorrhage,,c,,c,11.53
2009,S12000010,,45-64 years,,Male,,Cerebrovascular Disease,,c,,c,22.67
2009,S12000010,,45-64 years,,Male,,Stroke,,c,,c,6.77
2009,S12000010,,45-64 years,,Male,,Subarachnoid Haemorrhage,,c,,c,15.9
2009,S12000010,,45-64 years,,Female,,Cerebrovascular Disease,,c,,c,22.23
2009,S12000010,,45-64 years,,Female,,Stroke,,c,,c,15.08
2009,S12000010,,45-64 years,,Female,,Subarachnoid Haemorrhage,,c,,c,7.15
2009,S12000010,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,129.41
2009,S12000010,,65-74 years,,All,d,Stroke,,c,,c,70.57
2009,S12000010,,65-74 years,,All,d,Subarachnoid Haemorrhage,,c,,c,10.34
2009,S12000010,,65-74 years,,Male,,Cerebrovascular Disease,,c,,c,196.77
2009,S12000010,,65-74 years,,Male,,Stroke,,c,,c,99.78
2009,S12000010,,65-74 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000010,,65-74 years,,Female,,Cerebrovascular Disease,,c,,c,62.06
2009,S12000010,,65-74 years,,Female,,Stroke,,c,,c,41.37
2009,S12000010,,65-74 years,,Female,,Subarachnoid Haemorrhage,,c,,c,20.69
2009,S12000010,,under75 years,d,All,d,Cerebrovascular Disease,,c,,c,21.47
2009,S12000010,,under75 years,d,All,d,Stroke,,c,,c,11.33
2009,S12000010,,under75 years,d,All,d,Subarachnoid Haemorrhage,,c,,c,4.55
2009,S12000010,,under75 years,d,Male,,Cerebrovascular Disease,,c,,c,29.31
2009,S12000010,,under75 years,d,Male,,Stroke,,c,,c,13.49
2009,S12000010,,under75 years,d,Male,,Subarachnoid Haemorrhage,,c,,c,4.63
2009,S12000010,,under75 years,d,Female,,Cerebrovascular Disease,,c,,c,13.64
2009,S12000010,,under75 years,d,Female,,Stroke,,c,,c,9.17
2009,S12000010,,under75 years,d,Female,,Subarachnoid Haemorrhage,,c,,c,4.47
2009,S12000010,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,1200.48
2009,S12000010,,75plus years,,All,d,Stroke,,c,,c,631.6
2009,S12000010,,75plus years,,All,d,Subarachnoid Haemorrhage,,c,,c,9.48
2009,S12000010,,75plus years,,Male,,Cerebrovascular Disease,,c,,c,1154.11
2009,S12000010,,75plus years,,Male,,Stroke,,c,,c,639.43
2009,S12000010,,75plus years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000010,,75plus years,,Female,,Cerebrovascular Disease,,c,,c,1246.84
2009,S12000010,,75plus years,,Female,,Stroke,,c,,c,623.76
2009,S12000010,,75plus years,,Female,,Subarachnoid Haemorrhage,,c,,c,18.96
2009,S12000011,,All,d,All,d,Cerebrovascular Disease,86,,95.58,,113.07
2009,S12000011,,All,d,All,d,Stroke,42,,46.68,,47.99
2009,S12000011,,All,d,All,d,Subarachnoid Haemorrhage,4,,4.45,,4.42
2009,S12000011,,All,d,Male,,Cerebrovascular Disease,34,,79.25,,131.96
2009,S12000011,,All,d,Male,,Stroke,14,,32.63,,46.14
2009,S12000011,,All,d,Male,,Subarachnoid Haemorrhage,2,,4.66,,5.63
2009,S12000011,,All,d,Female,,Cerebrovascular Disease,52,,110.46,,94.19
2009,S12000011,,All,d,Female,,Stroke,28,,59.48,,49.83
2009,S12000011,,All,d,Female,,Subarachnoid Haemorrhage,2,,4.25,,3.21
2009,S12000011,,0-44 years,,All,d,Cerebrovascular Disease,,c,,c,1.87
2009,S12000011,,0-44 years,,All,d,Stroke,,c,,c,1.87
2009,S12000011,,0-44 years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000011,,0-44 years,,Male,,Cerebrovascular Disease,,c,,c,3.74
2009,S12000011,,0-44 years,,Male,,Stroke,,c,,c,3.74
2009,S12000011,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000011,,0-44 years,,Female,,Cerebrovascular Disease,0,,0,,0
2009,S12000011,,0-44 years,,Female,,Stroke,0,,0,,0
2009,S12000011,,0-44 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000011,,45-64 years,,All,d,Cerebrovascular Disease,,c,,c,16
2009,S12000011,,45-64 years,,All,d,Stroke,,c,,c,7.68
2009,S12000011,,45-64 years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000011,,45-64 years,,Male,,Cerebrovascular Disease,,c,,c,16.58
2009,S12000011,,45-64 years,,Male,,Stroke,,c,,c,7.66
2009,S12000011,,45-64 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000011,,45-64 years,,Female,,Cerebrovascular Disease,,c,,c,15.41
2009,S12000011,,45-64 years,,Female,,Stroke,,c,,c,7.71
2009,S12000011,,45-64 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000011,,65-74 years,,All,d,Cerebrovascular Disease,,c,,c,103.99
2009,S12000011,,65-74 years,,All,d,Stroke,,c,,c,26.48
2009,S12000011,,65-74 years,,All,d,Subarachnoid Haemorrhage,,c,,c,13.4
2009,S12000011,,65-74 years,,Male,,Cerebrovascular Disease,,c,,c,186.01
2009,S12000011,,65-74 years,,Male,,Stroke,,c,,c,52.97
2009,S12000011,,65-74 years,,Male,,Subarachnoid Haemorrhage,,c,,c,26.79
2009,S12000011,,65-74 years,,Female,,Cerebrovascular Disease,,c,,c,21.96
2009,S12000011,,65-74 years,,Female,,Stroke,0,,0,,0
2009,S12000011,,65-74 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000011,,under75 years,d,All,d,Cerebrovascular Disease,,c,,c,17.77
2009,S12000011,,under75 years,d,All,d,Stroke,,c,,c,6.4
2009,S12000011,,under75 years,d,All,d,Subarachnoid Haemorrhage,,c,,c,1.55
2009,S12000011,,under75 years,d,Male,,Cerebrovascular Disease,,c,,c,28.51
2009,S12000011,,under75 years,d,Male,,Stroke,,c,,c,10.56
2009,S12000011,,under75 years,d,Male,,Subarachnoid Haemorrhage,,c,,c,3.09
2009,S12000011,,under75 years,d,Female,,Cerebrovascular Disease,,c,,c,7.02
2009,S12000011,,under75 years,d,Female,,Stroke,,c,,c,2.24
2009,S12000011,,under75 years,d,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000011,,75plus years,,All,d,Cerebrovascular Disease,,c,,c,1076.71
2009,S12000011,,75plus years,,All,d,Stroke,,c,,c,468.44
2009,S12000011,,75plus years,,All,d,Subarachnoid Haemorrhage,,c,,c,33.47
2009,S12000011,,75plus years,,Male,,Cerebrovascular Disease,,c,,c,1177.91
2009,S12000011,,75plus years,,Male,,Stroke,,c,,c,405.94
2009,S12000011,,75plus years,,Male,,Subarachnoid Haemorrhage,,c,,c,31.25
2009,S12000011,,75plus years,,Female,,Cerebrovascular Disease,,c,,c,975.51
2009,S12000011,,75plus years,,Female,,Stroke,,c,,c,530.95
2009,S12000011,,75plus years,,Female,,Subarachnoid Haemorrhage,,c,,c,35.68
2009,S12000013,,All,d,All,d,Cerebrovascular Disease,33,,120.35,,111.59
2009,S12000013,,All,d,All,d,Stroke,15,,54.7,,56.03
2009,S12000013,,All,d,All,d,Subarachnoid Haemorrhage,1,,3.65,,3.47
2009,S12000013,,All,d,Male,,Cerebrovascular Disease,13,,96.3,,119.78
2009,S12000013,,All,d,Male,,Stroke,6,,44.44,,65.07
2009,S12000013,,All,d,Male,,Subarachnoid Haemorrhage,1,,7.41,,6.94
2009,S12000013,,All,d,Female,,Cerebrovascular Disease,20,,143.68,,103.39
2009,S12000013,,All,d,Female,,Stroke,9,,64.66,,47
2009,S12000013,,All,d,Female,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000013,,0-44 years,,All,d,Cerebrovascular Disease,0,,0,,0
2009,S12000013,,0-44 years,,All,d,Stroke,0,,0,,0
2009,S12000013,,0-44 years,,All,d,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000013,,0-44 years,,Male,,Cerebrovascular Disease,0,,0,,0
2009,S12000013,,0-44 years,,Male,,Stroke,0,,0,,0
2009,S12000013,,0-44 years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009,S12000013,,0-44 years,,Female,,Cerebrovascular Disease,0,,0,,0
2009,S12000013,,0-44 years,,Female,,Stroke,0,,0,,0
2009,S12000013,,0-44 years,,Female,,Subarachnoid Haemorrhage,0,,0,,0
