approx_year,healthboard_area_named,age_group,sex,diagnosis,number_of_discharges,crude_rate_discharge,easr_discharge,number_of_deaths,crude_rate_mortality,easr_mortality,hospitalstays,crude_rate_stays
2009,Ayrshire & Arran,45-64 years,Female,TIAs and related syndromes,7.5,13.661699881,13.9546143245,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,45-64 years,Male,Cerebrovascular Disease,104.5,204.161375395,201.4757480975,18,35.16655,34.51361,NA,NA
2009,Ayrshire & Arran,45-64 years,Male,Stroke,80,156.2957898,154.43657195,12,23.44437,23.17358,NA,NA
2009,Ayrshire & Arran,45-64 years,Male,Subarachnoid Haemorrhage,1.5,2.9305460585,2.7725577085,2,3.907395,3.732199,NA,NA
2009,Ayrshire & Arran,45-64 years,Male,TIAs and related syndromes,9.5,18.560125035749998,18.154791855,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,65-74 years,All,Cerebrovascular Disease,229,595.23809511,613.88135249,54,140.3618,142.6654,NA,NA
2009,Ayrshire & Arran,65-74 years,All,Stroke,153,397.6918277925,410.5022379975,35,90.97525,92.04234,NA,NA
2009,Ayrshire & Arran,65-74 years,All,Subarachnoid Haemorrhage,9.5,24.693283425,23.591268095,5,12.99646,13.38905,NA,NA
2009,Ayrshire & Arran,65-74 years,All,TIAs and related syndromes,30,77.97878976625,80.16379244,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,65-74 years,Female,Cerebrovascular Disease,89.5,438.1241433175,441.9100374775,28,137.0668,139.0251,NA,NA
2009,Ayrshire & Arran,65-74 years,Female,Stroke,59.5,291.26688858125,295.14834545775,18,88.11435,88.66486,NA,NA
2009,Ayrshire & Arran,65-74 years,Female,Subarachnoid Haemorrhage,7,34.2666927725,33.39660521,2,9.790484,9.816105,NA,NA
2009,Ayrshire & Arran,65-74 years,Female,TIAs and related syndromes,13.5,66.08576464375,67.2984497575,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,65-74 years,Male,Cerebrovascular Disease,139.5,773.1101750575,785.85266745,26,144.0922,146.3058,NA,NA
2009,Ayrshire & Arran,65-74 years,Male,Stroke,93.5,518.1777875675,525.8561305375,17,94.21414,95.41981,NA,NA
2009,Ayrshire & Arran,65-74 years,Male,Subarachnoid Haemorrhage,2.5,13.855021061,13.785930975,3,16.62603,16.96199,NA,NA
2009,Ayrshire & Arran,65-74 years,Male,TIAs and related syndromes,16.5,91.443138991,93.0291351,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,75plus years,All,Cerebrovascular Disease,396.5,1281.4711870875,1299.8440319625,295,953.4275,1026.929,NA,NA
2009,Ayrshire & Arran,75plus years,All,Stroke,309,998.67489744925,986.955188434,151,488.0256,525.7777,NA,NA
2009,Ayrshire & Arran,75plus years,All,Subarachnoid Haemorrhage,2.5,8.07989399175,6.92475513375,3,9.695873,8.05705,NA,NA
2009,Ayrshire & Arran,75plus years,All,TIAs and related syndromes,37.5,121.1984098825,124.3736667475,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,75plus years,Female,Cerebrovascular Disease,243,1273.718419085,1256.81728984,202,1058.811,1083.981,NA,NA
2009,Ayrshire & Arran,75plus years,Female,Stroke,198.5,1040.4654575,1022.127764,102,534.6472,542.8976,NA,NA
2009,Ayrshire & Arran,75plus years,Female,Subarachnoid Haemorrhage,2,10.48327916875,9.932733935,3,15.72492,16.1141,NA,NA
2009,Ayrshire & Arran,75plus years,Female,TIAs and related syndromes,24,125.7993500475,129.4767811525,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,75plus years,Male,Cerebrovascular Disease,153.5,1293.9391385874999,1342.8707743349999,93,783.9501,969.878,NA,NA
2009,Ayrshire & Arran,75plus years,Male,Stroke,110.5,931.46758840875,951.78261256825,49,413.049,508.6578,NA,NA
2009,Ayrshire & Arran,75plus years,Male,Subarachnoid Haemorrhage,0.5,4.2147854675,3.9167763365,0,0,0,NA,NA
2009,Ayrshire & Arran,75plus years,Male,TIAs and related syndromes,13.5,113.79920761,119.2705523675,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,All,All,Cerebrovascular Disease,840.5,225.679993535,235.9359496075,386,103.6436,116.7516,NA,NA
2009,Ayrshire & Arran,All,All,Stroke,600.5,161.238353492,167.047457051,206,55.31241,62.07251,NA,NA
2009,Ayrshire & Arran,All,All,Subarachnoid Haemorrhage,34.5,9.263485754,8.73550338475,18,4.833123,4.621841,NA,NA
2009,Ayrshire & Arran,All,All,TIAs and related syndromes,87,23.360094515,24.473190726,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,All,Female,Cerebrovascular Disease,423,217.71802685,203.680107495,244,125.5868,118.8581,NA,NA
2009,Ayrshire & Arran,All,Female,Stroke,307,158.012846902,146.79163218175,125,64.33748,60.56938,NA,NA
2009,Ayrshire & Arran,All,Female,Subarachnoid Haemorrhage,26.5,13.63954541575,12.8363825595,12,6.176398,5.867894,NA,NA
2009,Ayrshire & Arran,All,Female,TIAs and related syndromes,46.5,23.93354195925,23.117640576,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,All,Male,Cerebrovascular Disease,417.5,234.363597585,268.191791695,142,79.71169,114.6451,NA,NA
2009,Ayrshire & Arran,All,Male,Stroke,293.5,164.75620570925,187.30328194525,81,45.46934,63.57565,NA,NA
2009,Ayrshire & Arran,All,Male,Subarachnoid Haemorrhage,8,4.4907994745,4.63462420975,6,3.3681,3.375787,NA,NA
2009,Ayrshire & Arran,All,Male,TIAs and related syndromes,40.5,22.73467233975,25.8287408735,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,under75 years,All,Cerebrovascular Disease,444,130.0188292875,130.7142711175,91,26.648,26.73403,NA,NA
2009,Ayrshire & Arran,under75 years,All,Stroke,291.5,85.3614611395,85.95768145049999,55,16.10594,16.21156,NA,NA
2009,Ayrshire & Arran,under75 years,All,Subarachnoid Haemorrhage,32,9.370726435,8.91458837575,15,4.392528,4.282095,NA,NA
2009,Ayrshire & Arran,under75 years,All,TIAs and related syndromes,49.5,14.495342455,14.59292386525,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,under75 years,Female,Cerebrovascular Disease,180,102.73386221,99.52368289075,42,23.97123,23.40643,NA,NA
2009,Ayrshire & Arran,under75 years,Female,Stroke,108.5,61.9256891615,60.219926845500005,23,13.1271,12.86658,NA,NA
2009,Ayrshire & Arran,under75 years,Female,Subarachnoid Haemorrhage,24.5,13.983220136249999,13.1235565995,9,5.136693,4.854533,NA,NA
2009,Ayrshire & Arran,under75 years,Female,TIAs and related syndromes,22.5,12.84173277775,12.59860469675,NA,NA,NA,NA,NA
2009,Ayrshire & Arran,under75 years,Male,Cerebrovascular Disease,264,158.7692974,161.904859335,49,29.46854,30.06162,NA,NA
2009,Ayrshire & Arran,under75 years,Male,Stroke,183,110.05599024025,111.695436063,32,19.24476,19.55654,NA,NA
2009,Ayrshire & Arran,under75 years,Male,Subarachnoid Haemorrhage,7.5,4.510491403,4.705620153,6,3.608393,3.709656,NA,NA
2009,Ayrshire & Arran,under75 years,Male,TIAs and related syndromes,27,16.23776904925,16.587243034,NA,NA,NA,NA,NA
2009,Borders,0-44 years,All,Cerebrovascular Disease,11,19.3877011465,19.54108846775,0,0,0,NA,NA
2009,Borders,0-44 years,All,Stroke,7,12.337628005,11.001116279,0,0,0,NA,NA
2009,Borders,0-44 years,All,Subarachnoid Haemorrhage,0.5,0.881259143,1.064690601,0,0,0,NA,NA
2009,Borders,0-44 years,All,TIAs and related syndromes,2.5,4.4062957155,5.280054434,NA,NA,NA,NA,NA
2009,Borders,0-44 years,Female,Cerebrovascular Disease,4,13.94019655725,16.32768483825,0,0,0,NA,NA
2009,Borders,0-44 years,Female,Stroke,1.5,5.22757370925,5.10059457625,0,0,0,NA,NA
2009,Borders,0-44 years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Borders,0-44 years,Female,TIAs and related syndromes,1.5,5.22757370925,6.83663595475,NA,NA,NA,NA,NA
2009,Borders,0-44 years,Male,Cerebrovascular Disease,7,24.961666015,22.7544920925,0,0,0,NA,NA
2009,Borders,0-44 years,Male,Stroke,5.5,19.6127375825,16.90163798,0,0,0,NA,NA
2009,Borders,0-44 years,Male,Subarachnoid Haemorrhage,0.5,1.782976144,2.129381202,0,0,0,NA,NA
2009,Borders,0-44 years,Male,TIAs and related syndromes,1,3.5659522875,3.723472912,NA,NA,NA,NA,NA
2009,Borders,45-64 years,All,Cerebrovascular Disease,45,133.084908157,129.859848559,10,29.57442,30.18122,NA,NA
2009,Borders,45-64 years,All,Stroke,28.5,84.287108505,82.0685030075,5,14.78721,14.97213,NA,NA
2009,Borders,45-64 years,All,Subarachnoid Haemorrhage,5,14.787212021,14.53402685525,2,5.914885,6.25708,NA,NA
2009,Borders,45-64 years,All,TIAs and related syndromes,10,29.5744240395,28.79961391,NA,NA,NA,NA,NA
2009,Borders,45-64 years,Female,Cerebrovascular Disease,17,99.16005599249999,95.11582654,5,29.16472,28.69087,NA,NA
2009,Borders,45-64 years,Female,Stroke,10.5,61.2459169425,58.01665284,3,17.49883,17.25715,NA,NA
2009,Borders,45-64 years,Female,Subarachnoid Haemorrhage,3,17.49883341,16.6506544025,1,5.832944,6.216779,NA,NA
2009,Borders,45-64 years,Female,TIAs and related syndromes,2.5,14.582361175,14.23174022,NA,NA,NA,NA,NA
2009,Borders,45-64 years,Male,Cerebrovascular Disease,28,167.97648331000002,164.60387055750002,5,29.9958,31.67158,NA,NA
2009,Borders,45-64 years,Male,Stroke,18,107.9848821,106.1203532,2,11.99832,12.6871,NA,NA
2009,Borders,45-64 years,Male,Subarachnoid Haemorrhage,2,11.9983202365,12.41739930925,1,5.99916,6.297382,NA,NA
2009,Borders,45-64 years,Male,TIAs and related syndromes,7.5,44.9937008825,43.3674876,NA,NA,NA,NA,NA
2009,Borders,65-74 years,All,Cerebrovascular Disease,64,512.4099279675,521.6176094475,7,56.04484,54.27706,NA,NA
2009,Borders,65-74 years,All,Stroke,46.5,372.29783825,379.6533015,4,32.02562,31.18152,NA,NA
2009,Borders,65-74 years,All,Subarachnoid Haemorrhage,1,8.006405125,7.635590855,1,8.006405,7.824359,NA,NA
2009,Borders,65-74 years,All,TIAs and related syndromes,11,88.07045635,91.1456516,NA,NA,NA,NA,NA
2009,Borders,65-74 years,Female,Cerebrovascular Disease,24.5,373.47560977,372.44504037999997,6,91.46341,92.38216,NA,NA
2009,Borders,65-74 years,Female,Stroke,16,243.902439,243.2062997,3,45.73171,46.19108,NA,NA
2009,Borders,65-74 years,Female,Subarachnoid Haemorrhage,1,15.24390244,15.27118171,1,15.2439,15.64872,NA,NA
2009,Borders,65-74 years,Female,TIAs and related syndromes,4,60.97560975,60.70719095,NA,NA,NA,NA,NA
2009,Borders,65-74 years,Male,Cerebrovascular Disease,39.5,666.1045530775,670.7901784625001,1,16.86341,16.17195,NA,NA
2009,Borders,65-74 years,Male,Stroke,30.5,514.333895475,516.100303425,1,16.86341,16.17195,NA,NA
2009,Borders,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Borders,65-74 years,Male,TIAs and related syndromes,7,118.04384485,121.5841122,NA,NA,NA,NA,NA
2009,Borders,75plus years,All,Cerebrovascular Disease,164,1554.502369725,1604.63185057,79,748.8152,817.7072,NA,NA
2009,Borders,75plus years,All,Stroke,120,1137.4407582425,1182.2230650075,46,436.019,481.9748,NA,NA
2009,Borders,75plus years,All,Subarachnoid Haemorrhage,4.5,42.654028435,44.3064078225,4,37.91469,31.226,NA,NA
2009,Borders,75plus years,All,TIAs and related syndromes,24,227.48815165,215.0437271,NA,NA,NA,NA,NA
2009,Borders,75plus years,Female,Cerebrovascular Disease,90.5,1440.8533672625001,1421.113494895,53,843.8147,828.139,NA,NA
2009,Borders,75plus years,Female,Stroke,69,1098.5511859199999,1085.87302518,29,461.7099,453.9069,NA,NA
2009,Borders,75plus years,Female,Subarachnoid Haemorrhage,0.5,7.96051584,6.43004115,3,47.7631,40.5905,NA,NA
2009,Borders,75plus years,Female,TIAs and related syndromes,15,238.81547525,231.32682919249999,NA,NA,NA,NA,NA
2009,Borders,75plus years,Male,Cerebrovascular Disease,73.5,1721.7146873725,1788.1502064925,26,609.0419,807.2754,NA,NA
2009,Borders,75plus years,Male,Stroke,51,1194.659170905,1278.5731045875,17,398.2197,510.0427,NA,NA
2009,Borders,75plus years,Male,Subarachnoid Haemorrhage,4,93.69875849249999,82.1827744925,1,23.42469,21.86151,NA,NA
2009,Borders,75plus years,Male,TIAs and related syndromes,9,210.822206605,198.76062498,NA,NA,NA,NA,NA
2009,Borders,All,All,Cerebrovascular Disease,284,250.02200898249998,244.151763195,96,84.51448,87.29077,NA,NA
2009,Borders,All,All,Stroke,202,177.83255569325,173.95242860324998,55,48.41976,50.61941,NA,NA
2009,Borders,All,All,Subarachnoid Haemorrhage,11,9.683951051,9.215763785,7,6.162514,5.290024,NA,NA
2009,Borders,All,All,TIAs and related syndromes,47.5,41.81706136125,39.407355935,NA,NA,NA,NA,NA
2009,Borders,All,Female,Cerebrovascular Disease,136,231.7694575575,201.0295876425,64,109.068,91.83572,NA,NA
2009,Borders,All,Female,Stroke,97,165.30615724700002,141.39396781600001,35,59.64655,50.27483,NA,NA
2009,Borders,All,Female,Subarachnoid Haemorrhage,4.5,7.6688423455,6.59460119975,5,8.520936,6.943706,NA,NA
2009,Borders,All,Female,TIAs and related syndromes,23,39.1963053225,34.65686425,NA,NA,NA,NA,NA
2009,Borders,All,Male,Cerebrovascular Disease,148,269.5270528625,287.2739387725,32,58.27612,82.74581,NA,NA
2009,Borders,All,Male,Stroke,105,191.218517259,206.51088936550002,20,36.42257,50.96398,NA,NA
2009,Borders,All,Male,Subarachnoid Haemorrhage,6.5,11.837336781,11.8369263695,2,3.642257,3.636342,NA,NA
2009,Borders,All,Male,TIAs and related syndromes,24.5,44.617654021750006,44.15784761625,NA,NA,NA,NA,NA
2009,Borders,under75 years,All,Cerebrovascular Disease,120,116.45962733900001,109.5987874965,17,16.49845,15.05178,NA,NA
2009,Borders,under75 years,All,Stroke,82,79.5807453475,74.23335466,9,8.734472,7.957882,NA,NA
2009,Borders,under75 years,All,Subarachnoid Haemorrhage,6.5,6.308229814,5.74526052925,3,2.911491,2.724927,NA,NA
2009,Borders,under75 years,All,TIAs and related syndromes,23.5,22.80667701825,22.03672581925,NA,NA,NA,NA,NA
2009,Borders,under75 years,Female,Cerebrovascular Disease,45.5,86.83537539675001,80.3619484475,11,20.99317,19.01451,NA,NA
2009,Borders,under75 years,Female,Stroke,28,53.437154095,47.98395114,6,11.45082,10.35517,NA,NA
2009,Borders,under75 years,Female,Subarachnoid Haemorrhage,4,7.6338791555,6.6108763695,2,3.8169400000000002,3.616002,NA,NA
2009,Borders,under75 years,Female,TIAs and related syndromes,8,15.26775830975,15.20598859875,NA,NA,NA,NA,NA
2009,Borders,under75 years,Male,Cerebrovascular Disease,74.5,147.11109353825,138.83562655025,6,11.84787,11.08904,NA,NA
2009,Borders,under75 years,Male,Stroke,54,106.63085975,100.482758195,3,5.923937,5.560589,NA,NA
2009,Borders,under75 years,Male,Subarachnoid Haemorrhage,2.5,4.93661387775,4.8796446885,1,1.974646,1.833853,NA,NA
2009,Borders,under75 years,Male,TIAs and related syndromes,15.5,30.6070060405,28.86746304475,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,0-44 years,All,Cerebrovascular Disease,17,23.003748259749997,22.57680975475,2,2.706323,2.27049,NA,NA
2009,Dumfries & Galloway,0-44 years,All,Stroke,6.5,8.79555080475,9.73036800975,1,1.353162,1.160837,NA,NA
2009,Dumfries & Galloway,0-44 years,All,Subarachnoid Haemorrhage,4,5.41264664925,4.87079388975,1,1.353162,1.109653,NA,NA
2009,Dumfries & Galloway,0-44 years,All,TIAs and related syndromes,1,1.353161662,1.201832279,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,0-44 years,Female,Cerebrovascular Disease,7.5,20.169423153,18.5683920605,1,2.689256,2.219305,NA,NA
2009,Dumfries & Galloway,0-44 years,Female,Stroke,1.5,4.033884631,4.1330843055,0,0,0,NA,NA
2009,Dumfries & Galloway,0-44 years,Female,Subarachnoid Haemorrhage,4,10.7570256805,9.74158777925,1,2.689256,2.219305,NA,NA
2009,Dumfries & Galloway,0-44 years,Female,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,0-44 years,Male,Cerebrovascular Disease,9.5,25.874278244,26.585227449,1,2.723608,2.321674,NA,NA
2009,Dumfries & Galloway,0-44 years,Male,Stroke,5,13.61804118,15.3276517125,1,2.723608,2.321674,NA,NA
2009,Dumfries & Galloway,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Dumfries & Galloway,0-44 years,Male,TIAs and related syndromes,1,2.723608236,2.4036645585,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,45-64 years,All,Cerebrovascular Disease,78.5,174.53753113975,173.09339806575,11,24.45749,24.78216,NA,NA
2009,Dumfries & Galloway,45-64 years,All,Stroke,48.5,107.8352899375,106.7163895975,7,15.56386,15.64718,NA,NA
2009,Dumfries & Galloway,45-64 years,All,Subarachnoid Haemorrhage,9,20.01067236,20.205108515,4,8.893632,9.134975,NA,NA
2009,Dumfries & Galloway,45-64 years,All,TIAs and related syndromes,7.5,16.6755603,16.46109719975,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,45-64 years,Female,Cerebrovascular Disease,29,126.07051254,123.875610585,5,21.7363,21.06336,NA,NA
2009,Dumfries & Galloway,45-64 years,Female,Stroke,18.5,80.42429249,79.1973286,2,8.694518,7.795321,NA,NA
2009,Dumfries & Galloway,45-64 years,Female,Subarachnoid Haemorrhage,3.5,15.215406685,15.12972033,3,13.04178,13.26804,NA,NA
2009,Dumfries & Galloway,45-64 years,Female,TIAs and related syndromes,0.5,2.1736295265,1.9488302145,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,45-64 years,Male,Cerebrovascular Disease,49.5,225.27647565325,222.311185522,6,27.30624,28.50095,NA,NA
2009,Dumfries & Galloway,45-64 years,Male,Stroke,30,136.5311974,134.23545057500002,5,22.7552,23.49904,NA,NA
2009,Dumfries & Galloway,45-64 years,Male,Subarachnoid Haemorrhage,5.5,25.03071952,25.280496705,1,4.55104,5.001911,NA,NA
2009,Dumfries & Galloway,45-64 years,Male,TIAs and related syndromes,7,31.85727939,30.973364185,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,65-74 years,All,Cerebrovascular Disease,121.5,687.7618024225001,701.9406450824999,19,107.5512,107.8321,NA,NA
2009,Dumfries & Galloway,65-74 years,All,Stroke,69,390.5807766415,397.58389751,15,84.90886,84.09532,NA,NA
2009,Dumfries & Galloway,65-74 years,All,Subarachnoid Haemorrhage,15.5,87.7391599565,89.3171551575,1,5.660591,5.730331,NA,NA
2009,Dumfries & Galloway,65-74 years,All,TIAs and related syndromes,14,79.24827349899999,81.277933868,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,65-74 years,Female,Cerebrovascular Disease,43.5,475.6177564075,488.4001792975,12,131.2049,132.7,NA,NA
2009,Dumfries & Galloway,65-74 years,Female,Stroke,25,273.3435381575,279.757474395,10,109.3374,109.7787,NA,NA
2009,Dumfries & Galloway,65-74 years,Female,Subarachnoid Haemorrhage,7,76.53619070250001,80.224628955,1,10.93374,11.46066,NA,NA
2009,Dumfries & Galloway,65-74 years,Female,TIAs and related syndromes,6,65.602449155,67.3155981975,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,65-74 years,Male,Cerebrovascular Disease,78,915.492957675,915.481111,7,82.15962,82.96416,NA,NA
2009,Dumfries & Galloway,65-74 years,Male,Stroke,44,516.4319249499999,515.410320575,5,58.68545,58.41193,NA,NA
2009,Dumfries & Galloway,65-74 years,Male,Subarachnoid Haemorrhage,8.5,99.76525820250001,98.4096813625,0,0,0,NA,NA
2009,Dumfries & Galloway,65-74 years,Male,TIAs and related syndromes,8,93.8967136025,95.240269555,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,75plus years,All,Cerebrovascular Disease,241,1648.7651366425,1745.7317348024999,121,827.8032,844.9186,NA,NA
2009,Dumfries & Galloway,75plus years,All,Stroke,174.5,1193.8154202785001,1269.7221058349999,74,506.2598,501.7016,NA,NA
2009,Dumfries & Galloway,75plus years,All,Subarachnoid Haemorrhage,0.5,3.420674557,2.4905359635,2,13.6827,10.1829,NA,NA
2009,Dumfries & Galloway,75plus years,All,TIAs and related syndromes,24.5,167.6130533,178.8794165025,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,75plus years,Female,Cerebrovascular Disease,138.5,1601.71157638,1572.7142325225,80,925.1764,937.4044,NA,NA
2009,Dumfries & Galloway,75plus years,Female,Stroke,104.5,1208.5116225,1187.8953495,54,624.494,627.9339,NA,NA
2009,Dumfries & Galloway,75plus years,Female,Subarachnoid Haemorrhage,0.5,5.78235226,4.9810719265,2,23.12941,20.36581,NA,NA
2009,Dumfries & Galloway,75plus years,Female,TIAs and related syndromes,14,161.9058633,162.55788925,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,75plus years,Male,Cerebrovascular Disease,102.5,1716.9179230099999,1918.7492368325,41,686.7672,752.4328,NA,NA
2009,Dumfries & Galloway,75plus years,Male,Stroke,70,1172.52931319,1351.54886242,20,335.0084,375.4693,NA,NA
2009,Dumfries & Galloway,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Dumfries & Galloway,75plus years,Male,TIAs and related syndromes,10.5,175.879396985,195.2009437575,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,All,All,Cerebrovascular Disease,458,302.9902090475,288.8808516225,153,101.2173,95.15838,NA,NA
2009,Dumfries & Galloway,All,All,Stroke,298.5,197.4728764125,189.555540737,97,64.17042,58.75651,NA,NA
2009,Dumfries & Galloway,All,All,Subarachnoid Haemorrhage,29,19.18496957,17.58703198525,8,5.292405,4.538127,NA,NA
2009,Dumfries & Galloway,All,All,TIAs and related syndromes,47,31.09288171625,29.644510731,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,All,Female,Cerebrovascular Disease,218.5,280.1964581075,235.6802682925,98,125.6716,105.0801,NA,NA
2009,Dumfries & Galloway,All,Female,Stroke,149.5,191.71336608825,159.5042738585,66,84.636,70.10657,NA,NA
2009,Dumfries & Galloway,All,Female,Subarachnoid Haemorrhage,15,19.23545479125,18.141715803,7,8.976546,7.750747,NA,NA
2009,Dumfries & Galloway,All,Female,TIAs and related syndromes,20.5,26.28845488,22.21478785,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,All,Male,Cerebrovascular Disease,239.5,327.2796840525,342.0814349525,55,75.15817,85.23665,NA,NA
2009,Dumfries & Galloway,All,Male,Stroke,149,203.61032536275,219.60680759025,31,42.36188,47.40644,NA,NA
2009,Dumfries & Galloway,All,Male,Subarachnoid Haemorrhage,14,19.13117151,17.03234817,1,1.366512,1.325507,NA,NA
2009,Dumfries & Galloway,All,Male,TIAs and related syndromes,26.5,36.21257464525,37.074233612,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,under75 years,All,Cerebrovascular Disease,217,158.924294905,144.796698345,32,23.43584,21.00627,NA,NA
2009,Dumfries & Galloway,under75 years,All,Stroke,124,90.81388280325,82.72588044675,23,16.84451,14.94875,NA,NA
2009,Dumfries & Galloway,under75 years,All,Subarachnoid Haemorrhage,28.5,20.872545643749998,19.080092033,6,4.39422,3.979852,NA,NA
2009,Dumfries & Galloway,under75 years,All,TIAs and related syndromes,22.5,16.4783255105,14.88501455525,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,under75 years,Female,Cerebrovascular Disease,80,115.3835059325,103.44613995,18,25.96129,22.76233,NA,NA
2009,Dumfries & Galloway,under75 years,Female,Stroke,45,64.903222091,57.795266396,12,17.30753,14.93684,NA,NA
2009,Dumfries & Galloway,under75 years,Female,Subarachnoid Haemorrhage,14.5,20.9132604495,19.44331794575,5,7.211469,6.503104,NA,NA
2009,Dumfries & Galloway,under75 years,Female,TIAs and related syndromes,6.5,9.3749098565,8.33470089875,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,under75 years,Male,Cerebrovascular Disease,137,203.8417474,186.1472567575,14,20.83054,19.25021,NA,NA
2009,Dumfries & Galloway,under75 years,Male,Stroke,79,117.54378135,107.656494505,11,16.36686,14.96066,NA,NA
2009,Dumfries & Galloway,under75 years,Male,Subarachnoid Haemorrhage,14,20.83054353,18.71686612,1,1.487896,1.456601,NA,NA
2009,Dumfries & Galloway,under75 years,Male,TIAs and related syndromes,16,23.806335459,21.4353282115,NA,NA,NA,NA,NA
2009,Fife,0-44 years,All,Cerebrovascular Disease,46,23.059724686499997,23.744173396,2,1.002597,0.970366,NA,NA
2009,Fife,0-44 years,All,Stroke,17.5,8.7727213495,8.8307291435,0,0,0,NA,NA
2009,Fife,0-44 years,All,Subarachnoid Haemorrhage,17.5,8.772721349,9.397173989,2,1.002597,0.970366,NA,NA
