approx_year,council_area_named,age_group,sex,diagnosis,number_of_discharges,crude_rate_discharge,easr_discharge,number_of_deaths,crude_rate_mortality,easr_mortality,hospitalstays,crude_rate_stays
2009,Aberdeen City,65-74 years,Female,TIAs and related syndromes,NA,NA,73.3663872975,NA,NA,NA,NA,NA
2009,Aberdeen City,65-74 years,Male,Cerebrovascular Disease,NA,NA,631.53788751,NA,NA,94.41,NA,NA
2009,Aberdeen City,65-74 years,Male,Stroke,0,0,437.63571315,NA,NA,80.72,NA,NA
2009,Aberdeen City,65-74 years,Male,Subarachnoid Haemorrhage,0,0,6.84378379,0,0,0,NA,NA
2009,Aberdeen City,65-74 years,Male,TIAs and related syndromes,0,0,73.876219995,NA,NA,NA,NA,NA
2009,Aberdeen City,75plus years,Female,Cerebrovascular Disease,NA,NA,1336.826418015,NA,NA,1059.9,NA,NA
2009,Aberdeen City,75plus years,Female,Stroke,NA,NA,1002.78760245725,NA,NA,572.23,NA,NA
2009,Aberdeen City,75plus years,Female,Subarachnoid Haemorrhage,0,0,28.862432195,NA,NA,30.88,NA,NA
2009,Aberdeen City,75plus years,Female,TIAs and related syndromes,NA,NA,123.55099608725001,NA,NA,NA,NA,NA
2009,Aberdeen City,75plus years,Male,Cerebrovascular Disease,NA,NA,1566.5417951925,NA,NA,1035.11,NA,NA
2009,Aberdeen City,75plus years,Male,Stroke,NA,NA,1067.4351258825,NA,NA,400.6,NA,NA
2009,Aberdeen City,75plus years,Male,Subarachnoid Haemorrhage,0,0,7.79453603,NA,NA,15.59,NA,NA
2009,Aberdeen City,75plus years,Male,TIAs and related syndromes,0,0,165.2498839,NA,NA,NA,NA,NA
2009,Aberdeenshire,0-44 years,Female,Cerebrovascular Disease,NA,NA,15.187067825,NA,NA,1.24,NA,NA
2009,Aberdeenshire,0-44 years,Female,Stroke,0,0,3.7125430919999998,0,0,0,NA,NA
2009,Aberdeenshire,0-44 years,Female,Subarachnoid Haemorrhage,0,0,5.1340006445,NA,NA,1.24,NA,NA
2009,Aberdeenshire,0-44 years,Female,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2009,Aberdeenshire,0-44 years,Male,Cerebrovascular Disease,0,0,14.93039345,0,0,0,NA,NA
2009,Aberdeenshire,0-44 years,Male,Stroke,0,0,9.750163386,0,0,0,NA,NA
2009,Aberdeenshire,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0.869414015,0,0,0,NA,NA
2009,Aberdeenshire,0-44 years,Male,TIAs and related syndromes,0,0,2.367149072,NA,NA,NA,NA,NA
2009,Aberdeenshire,45-64 years,Female,Cerebrovascular Disease,NA,NA,113.297089415,NA,NA,19.65,NA,NA
2009,Aberdeenshire,45-64 years,Female,Stroke,0,0,47.676229725,NA,NA,11.15,NA,NA
2009,Aberdeenshire,45-64 years,Female,Subarachnoid Haemorrhage,NA,NA,36.1489932035,NA,NA,5.63,NA,NA
2009,Aberdeenshire,45-64 years,Female,TIAs and related syndromes,0,0,8.389487515,NA,NA,NA,NA,NA
2009,Aberdeenshire,45-64 years,Male,Cerebrovascular Disease,NA,NA,137.62704395425,NA,NA,30.13,NA,NA
2009,Aberdeenshire,45-64 years,Male,Stroke,0,0,105.04414655,NA,NA,13.95,NA,NA
2009,Aberdeenshire,45-64 years,Male,Subarachnoid Haemorrhage,0,0,10.74231423825,NA,NA,5.33,NA,NA
2009,Aberdeenshire,45-64 years,Male,TIAs and related syndromes,NA,NA,19.086769215,NA,NA,NA,NA,NA
2009,Aberdeenshire,65-74 years,Female,Cerebrovascular Disease,NA,NA,361.7091089175,NA,NA,92.53,NA,NA
2009,Aberdeenshire,65-74 years,Female,Stroke,0,0,243.89060645,NA,NA,64.88,NA,NA
2009,Aberdeenshire,65-74 years,Female,Subarachnoid Haemorrhage,0,0,33.9309813,NA,NA,18.07,NA,NA
2009,Aberdeenshire,65-74 years,Female,TIAs and related syndromes,NA,NA,40.37331435625,NA,NA,NA,NA,NA
2009,Aberdeenshire,65-74 years,Male,Cerebrovascular Disease,NA,NA,554.1255643925,NA,NA,155.28,NA,NA
2009,Aberdeenshire,65-74 years,Male,Stroke,0,0,368.614612375,NA,NA,86.57,NA,NA
2009,Aberdeenshire,65-74 years,Male,Subarachnoid Haemorrhage,0,0,4.466315858,NA,NA,8.93,NA,NA
2009,Aberdeenshire,65-74 years,Male,TIAs and related syndromes,0,0,51.7032548,NA,NA,NA,NA,NA
2009,Aberdeenshire,75plus years,Female,Cerebrovascular Disease,NA,NA,1347.68672034,NA,NA,1251.03,NA,NA
2009,Aberdeenshire,75plus years,Female,Stroke,NA,NA,1052.239415995,NA,NA,624.25,NA,NA
2009,Aberdeenshire,75plus years,Female,Subarachnoid Haemorrhage,0,0,4.4933318955,0,0,0,NA,NA
2009,Aberdeenshire,75plus years,Female,TIAs and related syndromes,0,0,111.6360736125,NA,NA,NA,NA,NA
2009,Aberdeenshire,75plus years,Male,Cerebrovascular Disease,NA,NA,1688.828613125,NA,NA,939.43,NA,NA
2009,Aberdeenshire,75plus years,Male,Stroke,NA,NA,1132.148006,NA,NA,448.12,NA,NA
2009,Aberdeenshire,75plus years,Male,Subarachnoid Haemorrhage,0,0,6.57462196,0,0,0,NA,NA
2009,Aberdeenshire,75plus years,Male,TIAs and related syndromes,NA,NA,239.82654740499999,NA,NA,NA,NA,NA
2009,Angus,0-44 years,Female,Cerebrovascular Disease,NA,NA,21.4739092425,NA,NA,3.33,NA,NA
2009,Angus,0-44 years,Female,Stroke,NA,NA,8.1455552655,0,0,0,NA,NA
2009,Angus,0-44 years,Female,Subarachnoid Haemorrhage,0,0,8.32453311375,NA,NA,3.33,NA,NA
2009,Angus,0-44 years,Female,TIAs and related syndromes,0,0,1.8711874555,NA,NA,NA,NA,NA
2009,Angus,0-44 years,Male,Cerebrovascular Disease,NA,NA,12.271672044,NA,NA,3.14,NA,NA
2009,Angus,0-44 years,Male,Stroke,0,0,10.44538816525,NA,NA,3.14,NA,NA
2009,Angus,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Angus,0-44 years,Male,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2009,Angus,45-64 years,Female,Cerebrovascular Disease,NA,NA,188.3234139825,NA,NA,30.51,NA,NA
2009,Angus,45-64 years,Female,Stroke,NA,NA,94.92122361,NA,NA,17.54,NA,NA
2009,Angus,45-64 years,Female,Subarachnoid Haemorrhage,NA,NA,36.072697979,NA,NA,6.48,NA,NA
2009,Angus,45-64 years,Female,TIAs and related syndromes,0,0,24.912178341,NA,NA,NA,NA,NA
2009,Angus,45-64 years,Male,Cerebrovascular Disease,NA,NA,166.160858875,NA,NA,6.24,NA,NA
2009,Angus,45-64 years,Male,Stroke,NA,NA,111.80631810975,NA,NA,6.24,NA,NA
2009,Angus,45-64 years,Male,Subarachnoid Haemorrhage,NA,NA,12.44956863975,0,0,0,NA,NA
2009,Angus,45-64 years,Male,TIAs and related syndromes,0,0,27.1194005395,NA,NA,NA,NA,NA
2009,Angus,65-74 years,Female,Cerebrovascular Disease,0,0,333.53782655,NA,NA,112.09,NA,NA
2009,Angus,65-74 years,Female,Stroke,0,0,143.8830811,NA,NA,64.68,NA,NA
2009,Angus,65-74 years,Female,Subarachnoid Haemorrhage,0,0,78.1105761675,0,0,0,NA,NA
2009,Angus,65-74 years,Female,TIAs and related syndromes,0,0,55.4984143075,NA,NA,NA,NA,NA
2009,Angus,65-74 years,Male,Cerebrovascular Disease,NA,NA,586.443078935,NA,NA,54.01,NA,NA
2009,Angus,65-74 years,Male,Stroke,NA,NA,322.330920355,NA,NA,16.88,NA,NA
2009,Angus,65-74 years,Male,Subarachnoid Haemorrhage,0,0,8.43765341,0,0,0,NA,NA
2009,Angus,65-74 years,Male,TIAs and related syndromes,0,0,27.00258426,NA,NA,NA,NA,NA
2009,Angus,75plus years,Female,Cerebrovascular Disease,NA,NA,1347.774702565,NA,NA,1269.76,NA,NA
2009,Angus,75plus years,Female,Stroke,0,0,1009.230631925,NA,NA,774.41,NA,NA
2009,Angus,75plus years,Female,Subarachnoid Haemorrhage,0,0,37.087226855,NA,NA,14.04,NA,NA
2009,Angus,75plus years,Female,TIAs and related syndromes,0,0,128.8642982925,NA,NA,NA,NA,NA
2009,Angus,75plus years,Male,Cerebrovascular Disease,NA,NA,1604.1866220775,NA,NA,970.06,NA,NA
2009,Angus,75plus years,Male,Stroke,NA,NA,1147.5342794025,NA,NA,414.98,NA,NA
2009,Angus,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,NA,NA,52.66,NA,NA
2009,Angus,75plus years,Male,TIAs and related syndromes,0,0,80.7765883,NA,NA,NA,NA,NA
2009,Argyll & Bute,0-44 years,Female,Cerebrovascular Disease,NA,NA,6.2637784995,0,0,0,NA,NA
2009,Argyll & Bute,0-44 years,Female,Stroke,NA,NA,6.2637784995,0,0,0,NA,NA
2009,Argyll & Bute,0-44 years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Argyll & Bute,0-44 years,Female,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2009,Argyll & Bute,0-44 years,Male,Cerebrovascular Disease,NA,NA,34.359652395,0,0,0,NA,NA
2009,Argyll & Bute,0-44 years,Male,Stroke,0,0,15.81331255,0,0,0,NA,NA
2009,Argyll & Bute,0-44 years,Male,Subarachnoid Haemorrhage,NA,NA,14.319552018749999,0,0,0,NA,NA
2009,Argyll & Bute,0-44 years,Male,TIAs and related syndromes,0,0,4.2267878255,NA,NA,NA,NA,NA
2009,Argyll & Bute,45-64 years,Female,Cerebrovascular Disease,NA,NA,126.728445255,0,0,0,NA,NA
2009,Argyll & Bute,45-64 years,Female,Stroke,NA,NA,59.410685797,0,0,0,NA,NA
2009,Argyll & Bute,45-64 years,Female,Subarachnoid Haemorrhage,0,0,24.84157112,0,0,0,NA,NA
2009,Argyll & Bute,45-64 years,Female,TIAs and related syndromes,0,0,13.111166685,NA,NA,NA,NA,NA
2009,Argyll & Bute,45-64 years,Male,Cerebrovascular Disease,0,0,168.0336312,NA,NA,14.53,NA,NA
2009,Argyll & Bute,45-64 years,Male,Stroke,0,0,104.4896722975,NA,NA,7.91,NA,NA
2009,Argyll & Bute,45-64 years,Male,Subarachnoid Haemorrhage,0,0,20.19994630125,0,0,0,NA,NA
2009,Argyll & Bute,45-64 years,Male,TIAs and related syndromes,0,0,25.303881055,NA,NA,NA,NA,NA
2009,Argyll & Bute,65-74 years,Female,Cerebrovascular Disease,NA,NA,256.2201217325,NA,NA,36.76,NA,NA
2009,Argyll & Bute,65-74 years,Female,Stroke,0,0,99.804838695,NA,NA,18.01,NA,NA
2009,Argyll & Bute,65-74 years,Female,Subarachnoid Haemorrhage,0,0,0,NA,NA,18.75,NA,NA
2009,Argyll & Bute,65-74 years,Female,TIAs and related syndromes,NA,NA,100.5397880975,NA,NA,NA,NA,NA
2009,Argyll & Bute,65-74 years,Male,Cerebrovascular Disease,NA,NA,556.5155124475,NA,NA,102.89,NA,NA
2009,Argyll & Bute,65-74 years,Male,Stroke,NA,NA,411.55832497250003,NA,NA,102.89,NA,NA
2009,Argyll & Bute,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Argyll & Bute,65-74 years,Male,TIAs and related syndromes,0,0,51.4447906,NA,NA,NA,NA,NA
2009,Argyll & Bute,75plus years,Female,Cerebrovascular Disease,NA,NA,1350.3328926825,NA,NA,1445.33,NA,NA
2009,Argyll & Bute,75plus years,Female,Stroke,NA,NA,892.3542059074999,NA,NA,798.42,NA,NA
2009,Argyll & Bute,75plus years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Argyll & Bute,75plus years,Female,TIAs and related syndromes,NA,NA,330.4862825475,NA,NA,NA,NA,NA
2009,Argyll & Bute,75plus years,Male,Cerebrovascular Disease,NA,NA,1683.024792425,NA,NA,1000.37,NA,NA
2009,Argyll & Bute,75plus years,Male,Stroke,NA,NA,1106.4521478775,NA,NA,387.98,NA,NA
2009,Argyll & Bute,75plus years,Male,Subarachnoid Haemorrhage,0,0,14.18137985,0,0,0,NA,NA
2009,Argyll & Bute,75plus years,Male,TIAs and related syndromes,0,0,374.0139854175,NA,NA,NA,NA,NA
2009,City of Edinburgh,0-44 years,Female,Cerebrovascular Disease,NA,NA,7.752250709,NA,NA,1.57,NA,NA
2009,City of Edinburgh,0-44 years,Female,Stroke,0,0,5.47208714475,NA,NA,0.79,NA,NA
2009,City of Edinburgh,0-44 years,Female,Subarachnoid Haemorrhage,0,0,1.13931773875,NA,NA,0.79,NA,NA
2009,City of Edinburgh,0-44 years,Female,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2009,City of Edinburgh,0-44 years,Male,Cerebrovascular Disease,NA,NA,18.13114127025,0,0,0,NA,NA
2009,City of Edinburgh,0-44 years,Male,Stroke,0,0,6.85066112975,0,0,0,NA,NA
2009,City of Edinburgh,0-44 years,Male,Subarachnoid Haemorrhage,NA,NA,6.53428291425,0,0,0,NA,NA
2009,City of Edinburgh,0-44 years,Male,TIAs and related syndromes,NA,NA,1.418113539,NA,NA,NA,NA,NA
2009,City of Edinburgh,45-64 years,Female,Cerebrovascular Disease,NA,NA,130.698093855,NA,NA,18.14,NA,NA
2009,City of Edinburgh,45-64 years,Female,Stroke,NA,NA,71.50915359025001,NA,NA,8.95,NA,NA
2009,City of Edinburgh,45-64 years,Female,Subarachnoid Haemorrhage,NA,NA,18.03752134075,NA,NA,9.18,NA,NA
2009,City of Edinburgh,45-64 years,Female,TIAs and related syndromes,0,0,17.564758486,NA,NA,NA,NA,NA
2009,City of Edinburgh,45-64 years,Male,Cerebrovascular Disease,NA,NA,244.4716517575,NA,NA,34.91,NA,NA
2009,City of Edinburgh,45-64 years,Male,Stroke,NA,NA,165.31402521,NA,NA,29.03,NA,NA
2009,City of Edinburgh,45-64 years,Male,Subarachnoid Haemorrhage,0,0,14.944616775,NA,NA,3.92,NA,NA
2009,City of Edinburgh,45-64 years,Male,TIAs and related syndromes,0,0,17.180070978,NA,NA,NA,NA,NA
2009,City of Edinburgh,65-74 years,Female,Cerebrovascular Disease,NA,NA,537.515663985,NA,NA,90.24,NA,NA
2009,City of Edinburgh,65-74 years,Female,Stroke,0,0,385.0114792,NA,NA,69.14,NA,NA
2009,City of Edinburgh,65-74 years,Female,Subarachnoid Haemorrhage,0,0,66.36014191,NA,NA,5.27,NA,NA
2009,City of Edinburgh,65-74 years,Female,TIAs and related syndromes,NA,NA,32.23029908,NA,NA,NA,NA,NA
2009,City of Edinburgh,65-74 years,Male,Cerebrovascular Disease,NA,NA,864.5054645175001,NA,NA,111.45,NA,NA
2009,City of Edinburgh,65-74 years,Male,Stroke,NA,NA,653.711313625,NA,NA,72.28,NA,NA
2009,City of Edinburgh,65-74 years,Male,Subarachnoid Haemorrhage,0,0,49.674371677500005,NA,NA,6.69,NA,NA
2009,City of Edinburgh,65-74 years,Male,TIAs and related syndromes,NA,NA,88.83895149675,NA,NA,NA,NA,NA
2009,City of Edinburgh,75plus years,Female,Cerebrovascular Disease,NA,NA,1816.963899255,NA,NA,1001.21,NA,NA
2009,City of Edinburgh,75plus years,Female,Stroke,NA,NA,1543.9065457765,NA,NA,574.04,NA,NA
2009,City of Edinburgh,75plus years,Female,Subarachnoid Haemorrhage,0,0,51.63162304,NA,NA,25.25,NA,NA
2009,City of Edinburgh,75plus years,Female,TIAs and related syndromes,0,0,128.821547915,NA,NA,NA,NA,NA
2009,City of Edinburgh,75plus years,Male,Cerebrovascular Disease,NA,NA,2030.655842475,NA,NA,1079.83,NA,NA
2009,City of Edinburgh,75plus years,Male,Stroke,NA,NA,1583.6649128725,NA,NA,527.53,NA,NA
2009,City of Edinburgh,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,City of Edinburgh,75plus years,Male,TIAs and related syndromes,0,0,211.951059725,NA,NA,NA,NA,NA
2009,Clackmannanshire,0-44 years,Female,Cerebrovascular Disease,0,0,60.2046339575,NA,NA,12.96,NA,NA
2009,Clackmannanshire,0-44 years,Female,Stroke,0,0,14.811602375,0,0,0,NA,NA
2009,Clackmannanshire,0-44 years,Female,Subarachnoid Haemorrhage,0,0,30.8724790225,NA,NA,12.96,NA,NA
2009,Clackmannanshire,0-44 years,Female,TIAs and related syndromes,0,0,2.995139317,NA,NA,NA,NA,NA
2009,Clackmannanshire,0-44 years,Male,Cerebrovascular Disease,NA,NA,62.25419110425,NA,NA,6.1,NA,NA
2009,Clackmannanshire,0-44 years,Male,Stroke,0,0,8.2445459155,0,0,0,NA,NA
2009,Clackmannanshire,0-44 years,Male,Subarachnoid Haemorrhage,NA,NA,44.85501033425,0,0,0,NA,NA
2009,Clackmannanshire,0-44 years,Male,TIAs and related syndromes,0,0,9.15463485925,NA,NA,NA,NA,NA
2009,Clackmannanshire,45-64 years,Female,Cerebrovascular Disease,NA,NA,138.6229100525,NA,NA,28.46,NA,NA
2009,Clackmannanshire,45-64 years,Female,Stroke,0,0,25.45419835,NA,NA,14.23,NA,NA
2009,Clackmannanshire,45-64 years,Female,Subarachnoid Haemorrhage,NA,NA,38.505968425,0,0,0,NA,NA
2009,Clackmannanshire,45-64 years,Female,TIAs and related syndromes,0,0,41.182205775,NA,NA,NA,NA,NA
2009,Clackmannanshire,45-64 years,Male,Cerebrovascular Disease,NA,NA,203.96475963749998,NA,NA,28.57,NA,NA
2009,Clackmannanshire,45-64 years,Male,Stroke,0,0,55.555241495000004,NA,NA,13.49,NA,NA
2009,Clackmannanshire,45-64 years,Male,Subarachnoid Haemorrhage,0,0,7.537892405,NA,NA,15.08,NA,NA
2009,Clackmannanshire,45-64 years,Male,TIAs and related syndromes,0,0,82.94243535999999,NA,NA,NA,NA,NA
2009,Clackmannanshire,65-74 years,Female,Cerebrovascular Disease,NA,NA,771.8523774825001,NA,NA,84.58,NA,NA
2009,Clackmannanshire,65-74 years,Female,Stroke,NA,NA,405.31218145500003,NA,NA,84.58,NA,NA
2009,Clackmannanshire,65-74 years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Clackmannanshire,65-74 years,Female,TIAs and related syndromes,0,0,142.738879855,NA,NA,NA,NA,NA
2009,Clackmannanshire,65-74 years,Male,Cerebrovascular Disease,NA,NA,1784.255200125,0,0,0,NA,NA
2009,Clackmannanshire,65-74 years,Male,Stroke,0,0,1288.2792441249999,0,0,0,NA,NA
2009,Clackmannanshire,65-74 years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Clackmannanshire,65-74 years,Male,TIAs and related syndromes,0,0,240.78277467499998,NA,NA,NA,NA,NA
2009,Clackmannanshire,75plus years,Female,Cerebrovascular Disease,0,0,1658.29065,NA,NA,1308.05,NA,NA
2009,Clackmannanshire,75plus years,Female,Stroke,0,0,907.39538305,NA,NA,673.7,NA,NA
2009,Clackmannanshire,75plus years,Female,Subarachnoid Haemorrhage,0,0,40.5515004075,0,0,0,NA,NA
2009,Clackmannanshire,75plus years,Female,TIAs and related syndromes,0,0,263.60125725,NA,NA,NA,NA,NA
2009,Clackmannanshire,75plus years,Male,Cerebrovascular Disease,0,0,1654.062405,NA,NA,694.33,NA,NA
2009,Clackmannanshire,75plus years,Male,Stroke,0,0,1010.6221895250001,NA,NA,469.69,NA,NA
2009,Clackmannanshire,75plus years,Male,Subarachnoid Haemorrhage,0,0,99.8003991925,0,0,0,NA,NA
2009,Clackmannanshire,75plus years,Male,TIAs and related syndromes,0,0,133.0671989425,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,0-44 years,Female,Cerebrovascular Disease,NA,NA,18.5683920605,NA,NA,2.22,NA,NA
2009,Dumfries & Galloway,0-44 years,Female,Stroke,0,0,4.1330843055,0,0,0,NA,NA
2009,Dumfries & Galloway,0-44 years,Female,Subarachnoid Haemorrhage,NA,NA,9.74158777925,NA,NA,2.22,NA,NA
2009,Dumfries & Galloway,0-44 years,Female,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,0-44 years,Male,Cerebrovascular Disease,NA,NA,26.585227449,NA,NA,2.32,NA,NA
2009,Dumfries & Galloway,0-44 years,Male,Stroke,0,0,15.3276517125,NA,NA,2.32,NA,NA
2009,Dumfries & Galloway,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Dumfries & Galloway,0-44 years,Male,TIAs and related syndromes,0,0,2.4036645585,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,45-64 years,Female,Cerebrovascular Disease,NA,NA,123.875610585,NA,NA,21.06,NA,NA
2009,Dumfries & Galloway,45-64 years,Female,Stroke,0,0,79.1973286,NA,NA,7.8,NA,NA
2009,Dumfries & Galloway,45-64 years,Female,Subarachnoid Haemorrhage,0,0,15.12972033,NA,NA,13.27,NA,NA
2009,Dumfries & Galloway,45-64 years,Female,TIAs and related syndromes,0,0,1.9488302145,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,45-64 years,Male,Cerebrovascular Disease,NA,NA,222.311185522,NA,NA,28.5,NA,NA
2009,Dumfries & Galloway,45-64 years,Male,Stroke,0,0,134.23545057500002,NA,NA,23.5,NA,NA
2009,Dumfries & Galloway,45-64 years,Male,Subarachnoid Haemorrhage,0,0,25.280496705,NA,NA,5,NA,NA
2009,Dumfries & Galloway,45-64 years,Male,TIAs and related syndromes,0,0,30.973364185,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,65-74 years,Female,Cerebrovascular Disease,NA,NA,488.4001792975,NA,NA,132.7,NA,NA
2009,Dumfries & Galloway,65-74 years,Female,Stroke,NA,NA,279.757474395,NA,NA,109.78,NA,NA
2009,Dumfries & Galloway,65-74 years,Female,Subarachnoid Haemorrhage,NA,NA,80.224628955,NA,NA,11.46,NA,NA
2009,Dumfries & Galloway,65-74 years,Female,TIAs and related syndromes,0,0,67.3155981975,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,65-74 years,Male,Cerebrovascular Disease,NA,NA,915.481111,NA,NA,82.96,NA,NA
2009,Dumfries & Galloway,65-74 years,Male,Stroke,0,0,515.410320575,NA,NA,58.41,NA,NA
2009,Dumfries & Galloway,65-74 years,Male,Subarachnoid Haemorrhage,0,0,98.4096813625,0,0,0,NA,NA
2009,Dumfries & Galloway,65-74 years,Male,TIAs and related syndromes,NA,NA,95.240269555,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,75plus years,Female,Cerebrovascular Disease,NA,NA,1572.7142325225,NA,NA,937.4,NA,NA
2009,Dumfries & Galloway,75plus years,Female,Stroke,0,0,1187.8953495,NA,NA,627.93,NA,NA
2009,Dumfries & Galloway,75plus years,Female,Subarachnoid Haemorrhage,0,0,4.9810719265,NA,NA,20.37,NA,NA
2009,Dumfries & Galloway,75plus years,Female,TIAs and related syndromes,0,0,162.55788925,NA,NA,NA,NA,NA
2009,Dumfries & Galloway,75plus years,Male,Cerebrovascular Disease,NA,NA,1918.7492368325,NA,NA,752.43,NA,NA
2009,Dumfries & Galloway,75plus years,Male,Stroke,NA,NA,1351.54886242,NA,NA,375.47,NA,NA
2009,Dumfries & Galloway,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Dumfries & Galloway,75plus years,Male,TIAs and related syndromes,0,0,195.2009437575,NA,NA,NA,NA,NA
2009,Dundee City,0-44 years,Female,Cerebrovascular Disease,NA,NA,12.50077071175,0,0,0,NA,NA
2009,Dundee City,0-44 years,Female,Stroke,0,0,4.5684287705,0,0,0,NA,NA
2009,Dundee City,0-44 years,Female,Subarachnoid Haemorrhage,0,0,0,0,0,0,NA,NA
2009,Dundee City,0-44 years,Female,TIAs and related syndromes,0,0,5.53343010475,NA,NA,NA,NA,NA
2009,Dundee City,0-44 years,Male,Cerebrovascular Disease,NA,NA,32.947592545,0,0,0,NA,NA
2009,Dundee City,0-44 years,Male,Stroke,NA,NA,19.040666715,0,0,0,NA,NA
2009,Dundee City,0-44 years,Male,Subarachnoid Haemorrhage,0,0,8.98537280875,0,0,0,NA,NA
2009,Dundee City,0-44 years,Male,TIAs and related syndromes,0,0,0,NA,NA,NA,NA,NA
2009,Dundee City,45-64 years,Female,Cerebrovascular Disease,NA,NA,246.77039435999998,NA,NA,21.07,NA,NA
2009,Dundee City,45-64 years,Female,Stroke,NA,NA,108.6861440525,NA,NA,10.92,NA,NA
2009,Dundee City,45-64 years,Female,Subarachnoid Haemorrhage,0,0,41.121857945,NA,NA,10.15,NA,NA
2009,Dundee City,45-64 years,Female,TIAs and related syndromes,NA,NA,66.6243551995,NA,NA,NA,NA,NA
2009,Dundee City,45-64 years,Male,Cerebrovascular Disease,NA,NA,301.898092875,NA,NA,43.39,NA,NA
2009,Dundee City,45-64 years,Male,Stroke,NA,NA,175.62547769,NA,NA,24.43,NA,NA
2009,Dundee City,45-64 years,Male,Subarachnoid Haemorrhage,0,0,11.683389153,NA,NA,12.64,NA,NA
2009,Dundee City,45-64 years,Male,TIAs and related syndromes,0,0,62.217913315000004,NA,NA,NA,NA,NA
2009,Dundee City,65-74 years,Female,Cerebrovascular Disease,NA,NA,768.2829395,NA,NA,115.69,NA,NA
2009,Dundee City,65-74 years,Female,Stroke,NA,NA,541.343227475,NA,NA,115.69,NA,NA
2009,Dundee City,65-74 years,Female,Subarachnoid Haemorrhage,0,0,13.8387235175,0,0,0,NA,NA
