FinancialYear,HBR,HBRQF,AdmissionType,AdmissionTypeQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDischarges,NumberOfDischargesQF,CrudeRate,CrudeRateQF,EASR
2009/10,S92000003,d,All,d,0-44 years,,Female,,Stroke,229,,15.48352897,,15.30864384
2009/10,S92000003,d,All,d,0-44 years,,Female,,Subarachnoid Haemorrhage,158,,10.68295886,,10.54378626
2009/10,S92000003,d,All,d,0-44 years,,Female,,TIAs and related syndromes,46,,3.110228527,,3.06367175
2009/10,S92000003,d,All,d,45-64 years,,All,d,Cerebrovascular Disease,5614,,397.5641934,,402.3586977
2009/10,S92000003,d,All,d,45-64 years,,All,d,Stroke,3317,,234.8985446,,238.7743157
2009/10,S92000003,d,All,d,45-64 years,,All,d,Subarachnoid Haemorrhage,656,,46.45566635,,46.16029276
2009/10,S92000003,d,All,d,45-64 years,,All,d,TIAs and related syndromes,780,,55.23692036,,55.70200871
2009/10,S92000003,d,All,d,45-64 years,,Male,,Cerebrovascular Disease,3229,,467.3999737,,472.0879619
2009/10,S92000003,d,All,d,45-64 years,,Male,,Stroke,2090,,302.5289393,,305.8734151
2009/10,S92000003,d,All,d,45-64 years,,Male,,Subarachnoid Haemorrhage,211,,30.54239531,,30.81150328
2009/10,S92000003,d,All,d,45-64 years,,Male,,TIAs and related syndromes,443,,64.12455507,,64.43346186
2009/10,S92000003,d,All,d,45-64 years,,Female,,Cerebrovascular Disease,2385,,330.673159,,332.6294336
2009/10,S92000003,d,All,d,45-64 years,,Female,,Stroke,1227,,170.1199019,,171.6752163
2009/10,S92000003,d,All,d,45-64 years,,Female,,Subarachnoid Haemorrhage,445,,61.69792695,,61.50908224
2009/10,S92000003,d,All,d,45-64 years,,Female,,TIAs and related syndromes,337,,46.72404805,,46.97055556
2009/10,S92000003,d,All,d,65-74 years,,All,d,Cerebrovascular Disease,6010,,1268.826557,,1293.841272
2009/10,S92000003,d,All,d,65-74 years,,All,d,Stroke,4031,,851.0216059,,869.1773949
2009/10,S92000003,d,All,d,65-74 years,,All,d,Subarachnoid Haemorrhage,314,,66.29143743,,64.71390993
2009/10,S92000003,d,All,d,65-74 years,,All,d,TIAs and related syndromes,740,,156.2282283,,159.5877544
2009/10,S92000003,d,All,d,65-74 years,,Male,,Cerebrovascular Disease,3353,,1525.776198,,1539.287193
2009/10,S92000003,d,All,d,65-74 years,,Male,,Stroke,2296,,1044.790382,,1053.573218
2009/10,S92000003,d,All,d,65-74 years,,Male,,Subarachnoid Haemorrhage,91,,41.4093749,,41.51736133
2009/10,S92000003,d,All,d,65-74 years,,Male,,TIAs and related syndromes,407,,185.2045669,,187.7579019
2009/10,S92000003,d,All,d,65-74 years,,Female,,Cerebrovascular Disease,2657,,1046.437897,,1048.395352
2009/10,S92000003,d,All,d,65-74 years,,Female,,Stroke,1735,,683.3156761,,684.7815721
2009/10,S92000003,d,All,d,65-74 years,,Female,,Subarachnoid Haemorrhage,223,,87.82674108,,87.91045853
2009/10,S92000003,d,All,d,65-74 years,,Female,,TIAs and related syndromes,333,,131.1493488,,131.4176069
2009/10,S92000003,d,All,d,under75 years,d,All,d,Cerebrovascular Disease,12839,,265.5434105,,290.8457439
2009/10,S92000003,d,All,d,under75 years,d,All,d,Stroke,7925,,163.909302,,181.4548522
2009/10,S92000003,d,All,d,under75 years,d,All,d,Subarachnoid Haemorrhage,1251,,25.87388477,,26.54775194
2009/10,S92000003,d,All,d,under75 years,d,All,d,TIAs and related syndromes,1611,,33.31960701,,36.45080976
2009/10,S92000003,d,All,d,under75 years,d,Male,,Cerebrovascular Disease,7228,,303.590967,,341.3270857
2009/10,S92000003,d,All,d,under75 years,d,Male,,Stroke,4734,,198.8378027,,224.8188636
2009/10,S92000003,d,All,d,under75 years,d,Male,,Subarachnoid Haemorrhage,425,,17.85088005,,18.78325166
2009/10,S92000003,d,All,d,under75 years,d,Male,,TIAs and related syndromes,895,,37.59185328,,42.24180777
2009/10,S92000003,d,All,d,under75 years,d,Female,,Cerebrovascular Disease,5611,,228.6325727,,240.3644021
2009/10,S92000003,d,All,d,under75 years,d,Female,,Stroke,3191,,130.0243342,,138.0908407
2009/10,S92000003,d,All,d,under75 years,d,Female,,Subarachnoid Haemorrhage,826,,33.65719213,,34.31225222
2009/10,S92000003,d,All,d,under75 years,d,Female,,TIAs and related syndromes,716,,29.17499947,,30.65981175
2009/10,S92000003,d,All,d,75plus years,,All,d,Cerebrovascular Disease,12706,,3201.237563,,3328.304578
2009/10,S92000003,d,All,d,75plus years,,All,d,Stroke,9314,,2346.633611,,2424.830393
2009/10,S92000003,d,All,d,75plus years,,All,d,Subarachnoid Haemorrhage,154,,38.79982565,,35.06346349
2009/10,S92000003,d,All,d,75plus years,,All,d,TIAs and related syndromes,1490,,375.4009105,,386.0777982
2009/10,S92000003,d,All,d,75plus years,,Male,,Cerebrovascular Disease,5180,,3427.422023,,3632.822504
2009/10,S92000003,d,All,d,75plus years,,Male,,Stroke,3619,,2394.563765,,2565.970464
2009/10,S92000003,d,All,d,75plus years,,Male,,Subarachnoid Haemorrhage,37,,24.48158588,,22.47953386
2009/10,S92000003,d,All,d,75plus years,,Male,,TIAs and related syndromes,611,,404.2769992,,416.1531782
2009/10,S92000003,d,All,d,75plus years,,Female,,Cerebrovascular Disease,7526,,3062.150341,,3023.786652
2009/10,S92000003,d,All,d,75plus years,,Female,,Stroke,5695,,2317.160004,,2283.690321
2009/10,S92000003,d,All,d,75plus years,,Female,,Subarachnoid Haemorrhage,117,,47.60451633,,47.64739312
2009/10,S92000003,d,All,d,75plus years,,Female,,TIAs and related syndromes,879,,357.6441868,,356.0024182
2009/10,S92000003,d,Elective,,All,d,All,d,Cerebrovascular Disease,1032,,19.72514765,,22.41110557
2009/10,S92000003,d,Elective,,All,d,All,d,Stroke,267,,5.103308549,,6.384281799
2009/10,S92000003,d,Elective,,All,d,All,d,Subarachnoid Haemorrhage,68,,1.299719031,,1.302331176
2009/10,S92000003,d,Elective,,All,d,All,d,TIAs and related syndromes,62,,1.18503794,,1.306181407
2009/10,S92000003,d,Elective,,All,d,Male,,Cerebrovascular Disease,554,,21.88020469,,26.82406525
2009/10,S92000003,d,Elective,,All,d,Male,,Stroke,147,,5.805758285,,8.281450225
2009/10,S92000003,d,Elective,,All,d,Male,,Subarachnoid Haemorrhage,25,,0.987373858,,1.006387877
2009/10,S92000003,d,Elective,,All,d,Male,,TIAs and related syndromes,29,,1.145353675,,1.348736118
2009/10,S92000003,d,Elective,,All,d,Female,,Cerebrovascular Disease,478,,17.70415614,,17.99814589
2009/10,S92000003,d,Elective,,All,d,Female,,Stroke,120,,4.444558028,,4.487113372
2009/10,S92000003,d,Elective,,All,d,Female,,Subarachnoid Haemorrhage,43,,1.592633293,,1.598274476
2009/10,S92000003,d,Elective,,All,d,Female,,TIAs and related syndromes,33,,1.222253458,,1.263626696
2009/10,S92000003,d,Elective,,0-44 years,,All,d,Cerebrovascular Disease,91,,3.085555329,,3.068443302
2009/10,S92000003,d,Elective,,0-44 years,,All,d,Stroke,19,,0.644236827,,0.640095287
2009/10,S92000003,d,Elective,,0-44 years,,All,d,Subarachnoid Haemorrhage,16,,0.542515223,,0.560073378
2009/10,S92000003,d,Elective,,0-44 years,,All,d,TIAs and related syndromes,2,,0.067814403,,0.064219628
2009/10,S92000003,d,Elective,,0-44 years,,Male,,Cerebrovascular Disease,45,,3.060735189,,3.09679693
2009/10,S92000003,d,Elective,,0-44 years,,Male,,Stroke,14,,0.952228725,,0.957216718
2009/10,S92000003,d,Elective,,0-44 years,,Male,,Subarachnoid Haemorrhage,8,,0.5441307,,0.576567873
2009/10,S92000003,d,Elective,,0-44 years,,Male,,TIAs and related syndromes,1,,0.068016338,,0.066026399
2009/10,S92000003,d,Elective,,0-44 years,,Female,,Cerebrovascular Disease,46,,3.110228527,,3.040089674
2009/10,S92000003,d,Elective,,0-44 years,,Female,,Stroke,5,,0.338068318,,0.322973857
2009/10,S92000003,d,Elective,,0-44 years,,Female,,Subarachnoid Haemorrhage,8,,0.540909309,,0.543578883
2009/10,S92000003,d,Elective,,0-44 years,,Female,,TIAs and related syndromes,1,,0.067613664,,0.062412856
2009/10,S92000003,d,Elective,,45-64 years,,All,d,Cerebrovascular Disease,375,,26.55621171,,26.71643791
2009/10,S92000003,d,Elective,,45-64 years,,All,d,Stroke,58,,4.107360745,,4.128261041
2009/10,S92000003,d,Elective,,45-64 years,,All,d,Subarachnoid Haemorrhage,43,,3.045112276,,3.029192302
2009/10,S92000003,d,Elective,,45-64 years,,All,d,TIAs and related syndromes,17,,1.203881598,,1.200284328
2009/10,S92000003,d,Elective,,45-64 years,,Male,,Cerebrovascular Disease,176,,25.4761212,,25.7103057
2009/10,S92000003,d,Elective,,45-64 years,,Male,,Stroke,28,,4.053019282,,4.125554672
2009/10,S92000003,d,Elective,,45-64 years,,Male,,Subarachnoid Haemorrhage,13,,1.881758952,,1.9146712
2009/10,S92000003,d,Elective,,45-64 years,,Male,,TIAs and related syndromes,10,,1.447506887,,1.439600178
2009/10,S92000003,d,Elective,,45-64 years,,Female,,Cerebrovascular Disease,199,,27.59075834,,27.72257013
2009/10,S92000003,d,Elective,,45-64 years,,Female,,Stroke,30,,4.159410806,,4.130967409
2009/10,S92000003,d,Elective,,45-64 years,,Female,,Subarachnoid Haemorrhage,30,,4.159410806,,4.143713405
2009/10,S92000003,d,Elective,,45-64 years,,Female,,TIAs and related syndromes,7,,0.970529188,,0.960968477
2009/10,S92000003,d,Elective,,65-74 years,,All,d,Cerebrovascular Disease,285,,60.16897983,,61.41597288
2009/10,S92000003,d,Elective,,65-74 years,,All,d,Stroke,72,,15.20058438,,15.6053604
2009/10,S92000003,d,Elective,,65-74 years,,All,d,Subarachnoid Haemorrhage,8,,1.68895382,,1.688211624
2009/10,S92000003,d,Elective,,65-74 years,,All,d,TIAs and related syndromes,25,,5.277980687,,5.291599672
2009/10,S92000003,d,Elective,,65-74 years,,Male,,Cerebrovascular Disease,166,,75.53798059,,75.92645317
2009/10,S92000003,d,Elective,,65-74 years,,Male,,Stroke,43,,19.56706726,,19.7478247
2009/10,S92000003,d,Elective,,65-74 years,,Male,,Subarachnoid Haemorrhage,4,,1.820192303,,1.787174832
2009/10,S92000003,d,Elective,,65-74 years,,Male,,TIAs and related syndromes,11,,5.005528834,,5.08655757
2009/10,S92000003,d,Elective,,65-74 years,,Female,,Cerebrovascular Disease,119,,46.8671847,,46.90549259
2009/10,S92000003,d,Elective,,65-74 years,,Female,,Stroke,29,,11.42141476,,11.4628961
2009/10,S92000003,d,Elective,,65-74 years,,Female,,Subarachnoid Haemorrhage,4,,1.575367553,,1.589248417
2009/10,S92000003,d,Elective,,65-74 years,,Female,,TIAs and related syndromes,14,,5.513786435,,5.496641773
2009/10,S92000003,d,Elective,,under75 years,d,All,d,Cerebrovascular Disease,751,,15.53260389,,16.68735449
2009/10,S92000003,d,Elective,,under75 years,d,All,d,Stroke,149,,3.081701703,,3.38264118
2009/10,S92000003,d,Elective,,under75 years,d,All,d,Subarachnoid Haemorrhage,67,,1.385731638,,1.409272313
2009/10,S92000003,d,Elective,,under75 years,d,All,d,TIAs and related syndromes,44,,0.910032718,,0.998210892
2009/10,S92000003,d,Elective,,under75 years,d,Male,,Cerebrovascular Disease,387,,16.25480136,,18.08547136
2009/10,S92000003,d,Elective,,under75 years,d,Male,,Stroke,85,,3.57017601,,4.048011659
2009/10,S92000003,d,Elective,,under75 years,d,Male,,Subarachnoid Haemorrhage,25,,1.050051768,,1.105920744
2009/10,S92000003,d,Elective,,under75 years,d,Male,,TIAs and related syndromes,22,,0.924045555,,1.045315217
2009/10,S92000003,d,Elective,,under75 years,d,Female,,Cerebrovascular Disease,364,,14.83198297,,15.28923762
2009/10,S92000003,d,Elective,,under75 years,d,Female,,Stroke,64,,2.607821182,,2.7172707
2009/10,S92000003,d,Elective,,under75 years,d,Female,,Subarachnoid Haemorrhage,42,,1.71138265,,1.712623882
2009/10,S92000003,d,Elective,,under75 years,d,Female,,TIAs and related syndromes,22,,0.896438531,,0.951106566
2009/10,S92000003,d,Elective,,75plus years,,All,d,Cerebrovascular Disease,281,,70.79708447,,80.28458878
2009/10,S92000003,d,Elective,,75plus years,,All,d,Stroke,118,,29.72973654,,36.73420362
2009/10,S92000003,d,Elective,,75plus years,,All,d,Subarachnoid Haemorrhage,1,,0.25194692,,0.221037461
2009/10,S92000003,d,Elective,,75plus years,,All,d,TIAs and related syndromes,18,,4.535044557,,4.420105509
2009/10,S92000003,d,Elective,,75plus years,,Male,,Cerebrovascular Disease,167,,110.4979687,,115.1809591
2009/10,S92000003,d,Elective,,75plus years,,Male,,Stroke,62,,41.02319796,,51.08621795
2009/10,S92000003,d,Elective,,75plus years,,Male,,Subarachnoid Haemorrhage,0,,0,,0
2009/10,S92000003,d,Elective,,75plus years,,Male,,TIAs and related syndromes,7,,4.631651382,,4.416658561
2009/10,S92000003,d,Elective,,75plus years,,Female,,Cerebrovascular Disease,114,,46.3838877,,45.38821844
2009/10,S92000003,d,Elective,,75plus years,,Female,,Stroke,56,,22.78506764,,22.38218928
2009/10,S92000003,d,Elective,,75plus years,,Female,,Subarachnoid Haemorrhage,1,,0.406876208,,0.442074923
2009/10,S92000003,d,Elective,,75plus years,,Female,,TIAs and related syndromes,11,,4.475638287,,4.423552457
2009/10,S92000003,d,Emergency,,All,d,All,d,Cerebrovascular Disease,12302,,235.1344636,,271.2348751
2009/10,S92000003,d,Emergency,,All,d,All,d,Stroke,8069,,154.2269539,,179.016624
2009/10,S92000003,d,Emergency,,All,d,All,d,Subarachnoid Haemorrhage,630,,12.04151455,,12.16887811
2009/10,S92000003,d,Emergency,,All,d,All,d,TIAs and related syndromes,2277,,43.52147403,,49.88221736
2009/10,S92000003,d,Emergency,,All,d,Male,,Cerebrovascular Disease,5928,,234.1260892,,303.7302856
2009/10,S92000003,d,Emergency,,All,d,Male,,Stroke,3907,,154.3067865,,202.4396393
2009/10,S92000003,d,Emergency,,All,d,Male,,Subarachnoid Haemorrhage,219,,8.649394997,,9.013648521
2009/10,S92000003,d,Emergency,,All,d,Male,,TIAs and related syndromes,1114,,43.99737911,,55.9502182
2009/10,S92000003,d,Emergency,,All,d,Female,,Cerebrovascular Disease,6374,,236.0801072,,238.7394647
2009/10,S92000003,d,Emergency,,All,d,Female,,Stroke,4162,,154.1520876,,155.5936087
2009/10,S92000003,d,Emergency,,All,d,Female,,Subarachnoid Haemorrhage,411,,15.22261124,,15.32410771
2009/10,S92000003,d,Emergency,,All,d,Female,,TIAs and related syndromes,1163,,43.07517488,,43.81421651
2009/10,S92000003,d,Emergency,,0-44 years,,All,d,Cerebrovascular Disease,550,,18.64896078,,18.55282391
2009/10,S92000003,d,Emergency,,0-44 years,,All,d,Stroke,255,,8.646336361,,8.640999898
2009/10,S92000003,d,Emergency,,0-44 years,,All,d,Subarachnoid Haemorrhage,126,,4.272307378,,4.234468796
2009/10,S92000003,d,Emergency,,0-44 years,,All,d,TIAs and related syndromes,75,,2.543040106,,2.51947843
2009/10,S92000003,d,Emergency,,0-44 years,,Male,,Cerebrovascular Disease,288,,19.58870521,,19.70385134
2009/10,S92000003,d,Emergency,,0-44 years,,Male,,Stroke,145,,9.862368941,,9.926544583
2009/10,S92000003,d,Emergency,,0-44 years,,Male,,Subarachnoid Haemorrhage,57,,3.876931239,,3.940181273
2009/10,S92000003,d,Emergency,,0-44 years,,Male,,TIAs and related syndromes,35,,2.380571813,,2.378117502
2009/10,S92000003,d,Emergency,,0-44 years,,Female,,Cerebrovascular Disease,262,,17.71477987,,17.40179647
2009/10,S92000003,d,Emergency,,0-44 years,,Female,,Stroke,110,,7.437503,,7.355455213
2009/10,S92000003,d,Emergency,,0-44 years,,Female,,Subarachnoid Haemorrhage,69,,4.665342791,,4.528756318
2009/10,S92000003,d,Emergency,,0-44 years,,Female,,TIAs and related syndromes,40,,2.704546546,,2.660839358
2009/10,S92000003,d,Emergency,,45-64 years,,All,d,Cerebrovascular Disease,2792,,197.7198483,,200.1317861
2009/10,S92000003,d,Emergency,,45-64 years,,All,d,Stroke,1652,,116.9889647,,118.8700852
2009/10,S92000003,d,Emergency,,45-64 years,,All,d,Subarachnoid Haemorrhage,301,,21.31578593,,21.21973655
2009/10,S92000003,d,Emergency,,45-64 years,,All,d,TIAs and related syndromes,596,,42.20667248,,42.58620183
2009/10,S92000003,d,Emergency,,45-64 years,,Male,,Cerebrovascular Disease,1639,,237.2463787,,239.4289441
2009/10,S92000003,d,Emergency,,45-64 years,,Male,,Stroke,1051,,152.1329738,,153.6531109
2009/10,S92000003,d,Emergency,,45-64 years,,Male,,Subarachnoid Haemorrhage,109,,15.77782506,,15.91369304
2009/10,S92000003,d,Emergency,,45-64 years,,Male,,TIAs and related syndromes,331,,47.91247794,,48.19024821
2009/10,S92000003,d,Emergency,,45-64 years,,Female,,Cerebrovascular Disease,1153,,159.860022,,160.8346282
2009/10,S92000003,d,Emergency,,45-64 years,,Female,,Stroke,601,,83.32686314,,84.08705954
2009/10,S92000003,d,Emergency,,45-64 years,,Female,,Subarachnoid Haemorrhage,192,,26.62022916,,26.52578006
2009/10,S92000003,d,Emergency,,45-64 years,,Female,,TIAs and related syndromes,265,,36.74146212,,36.98215545
2009/10,S92000003,d,Emergency,,65-74 years,,All,d,Cerebrovascular Disease,2855,,602.7453944,,613.5903398
2009/10,S92000003,d,Emergency,,65-74 years,,All,d,Stroke,1896,,400.2820553,,408.2890837
2009/10,S92000003,d,Emergency,,65-74 years,,All,d,Subarachnoid Haemorrhage,122,,25.75654575,,25.1049481
2009/10,S92000003,d,Emergency,,65-74 years,,All,d,TIAs and related syndromes,538,,113.5821444,,115.8460839
2009/10,S92000003,d,Emergency,,65-74 years,,Male,,Cerebrovascular Disease,1552,,706.2346137,,713.0323028
2009/10,S92000003,d,Emergency,,65-74 years,,Male,,Stroke,1053,,479.1656238,,483.8459411
2009/10,S92000003,d,Emergency,,65-74 years,,Male,,Subarachnoid Haemorrhage,34,,15.47163458,,15.57506947
2009/10,S92000003,d,Emergency,,65-74 years,,Male,,TIAs and related syndromes,296,,134.6942304,,136.213061
2009/10,S92000003,d,Emergency,,65-74 years,,Female,,Cerebrovascular Disease,1303,,513.1759804,,514.1483767
2009/10,S92000003,d,Emergency,,65-74 years,,Female,,Stroke,843,,332.0087118,,332.7322264
2009/10,S92000003,d,Emergency,,65-74 years,,Female,,Subarachnoid Haemorrhage,88,,34.65808616,,34.63482674
2009/10,S92000003,d,Emergency,,65-74 years,,Female,,TIAs and related syndromes,242,,95.30973695,,95.47910682
2009/10,S92000003,d,Emergency,,under75 years,d,All,d,Cerebrovascular Disease,6197,,128.1698353,,140.0883889
2009/10,S92000003,d,Emergency,,under75 years,d,All,d,Stroke,3803,,78.6557824,,86.85391904
2009/10,S92000003,d,Emergency,,under75 years,d,All,d,Subarachnoid Haemorrhage,549,,11.35472641,,11.58886031
2009/10,S92000003,d,Emergency,,under75 years,d,All,d,TIAs and related syndromes,1209,,25.00521718,,27.26340731
2009/10,S92000003,d,Emergency,,under75 years,d,Male,,Cerebrovascular Disease,3479,,146.125204,,163.6891667
2009/10,S92000003,d,Emergency,,under75 years,d,Male,,Stroke,2249,,94.46265701,,106.4639915
2009/10,S92000003,d,Emergency,,under75 years,d,Male,,Subarachnoid Haemorrhage,200,,8.40041414,,8.769460261
2009/10,S92000003,d,Emergency,,under75 years,d,Male,,TIAs and related syndromes,662,,27.8053708,,31.16150619
2009/10,S92000003,d,Emergency,,under75 years,d,Female,,Cerebrovascular Disease,2718,,110.7509058,,116.4876111
2009/10,S92000003,d,Emergency,,under75 years,d,Female,,Stroke,1554,,63.32115807,,67.24384655
2009/10,S92000003,d,Emergency,,under75 years,d,Female,,Subarachnoid Haemorrhage,349,,14.22077488,,14.40826037
2009/10,S92000003,d,Emergency,,under75 years,d,Female,,TIAs and related syndromes,547,,22.28872166,,23.36530842
2009/10,S92000003,d,Emergency,,75plus years,,All,d,Cerebrovascular Disease,6105,,1538.135946,,1597.271569
2009/10,S92000003,d,Emergency,,75plus years,,All,d,Stroke,4266,,1074.80556,,1110.883974
2009/10,S92000003,d,Emergency,,75plus years,,All,d,Subarachnoid Haemorrhage,81,,20.40770051,,18.03350252
2009/10,S92000003,d,Emergency,,75plus years,,All,d,TIAs and related syndromes,1068,,269.0793104,,278.583519
2009/10,S92000003,d,Emergency,,75plus years,,Male,,Cerebrovascular Disease,2449,,1620.416319,,1719.701598
2009/10,S92000003,d,Emergency,,75plus years,,Male,,Stroke,1658,,1097.039713,,1172.860078
2009/10,S92000003,d,Emergency,,75plus years,,Male,,Subarachnoid Haemorrhage,19,,12.57162518,,11.48266314
2009/10,S92000003,d,Emergency,,75plus years,,Male,,TIAs and related syndromes,452,,299.0723464,,306.5916397
2009/10,S92000003,d,Emergency,,75plus years,,Female,,Cerebrovascular Disease,3656,,1487.539416,,1474.84154
2009/10,S92000003,d,Emergency,,75plus years,,Female,,Stroke,2608,,1061.13315,,1048.907871
2009/10,S92000003,d,Emergency,,75plus years,,Female,,Subarachnoid Haemorrhage,62,,25.22632489,,24.5843419
2009/10,S92000003,d,Emergency,,75plus years,,Female,,TIAs and related syndromes,616,,250.6357441,,250.5753983
2009/10,S92000003,d,Transfer,,All,d,All,d,Cerebrovascular Disease,12211,,233.3951337,,270.5710582
2009/10,S92000003,d,Transfer,,All,d,All,d,Stroke,8903,,170.1676255,,197.957745
2009/10,S92000003,d,Transfer,,All,d,All,d,Subarachnoid Haemorrhage,707,,13.51325522,,13.84295669
2009/10,S92000003,d,Transfer,,All,d,All,d,TIAs and related syndromes,762,,14.56449856,,16.72883996
2009/10,S92000003,d,Transfer,,All,d,Male,,Cerebrovascular Disease,5926,,234.0470993,,307.0073225
2009/10,S92000003,d,Transfer,,All,d,Male,,Stroke,4299,,169.7888086,,224.8014181
2009/10,S92000003,d,Transfer,,All,d,Male,,Subarachnoid Haemorrhage,218,,8.609900042,,9.095880661
2009/10,S92000003,d,Transfer,,All,d,Male,,TIAs and related syndromes,363,,14.33666842,,18.59487679
2009/10,S92000003,d,Transfer,,All,d,Female,,Cerebrovascular Disease,6285,,232.7837267,,234.1347939
2009/10,S92000003,d,Transfer,,All,d,Female,,Stroke,4604,,170.5228763,,171.1140719
2009/10,S92000003,d,Transfer,,All,d,Female,,Subarachnoid Haemorrhage,489,,18.11157396,,18.59003272
2009/10,S92000003,d,Transfer,,All,d,Female,,TIAs and related syndromes,399,,14.77815544,,14.86280313
2009/10,S92000003,d,Transfer,,0-44 years,,All,d,Cerebrovascular Disease,574,,19.46273361,,19.47361877
2009/10,S92000003,d,Transfer,,0-44 years,,All,d,Stroke,303,,10.27388203,,10.32093322
2009/10,S92000003,d,Transfer,,0-44 years,,All,d,Subarachnoid Haemorrhage,139,,4.713100997,,4.707339571
2009/10,S92000003,d,Transfer,,0-44 years,,All,d,TIAs and related syndromes,14,,0.47470082,,0.476469273
2009/10,S92000003,d,Transfer,,0-44 years,,Male,,Cerebrovascular Disease,313,,21.28911365,,21.42006057
2009/10,S92000003,d,Transfer,,0-44 years,,Male,,Stroke,189,,12.85508779,,13.01165168
2009/10,S92000003,d,Transfer,,0-44 years,,Male,,Subarachnoid Haemorrhage,58,,3.944947576,,3.943228078
2009/10,S92000003,d,Transfer,,0-44 years,,Male,,TIAs and related syndromes,9,,0.612147038,,0.612519009
2009/10,S92000003,d,Transfer,,0-44 years,,Female,,Cerebrovascular Disease,261,,17.64716621,,17.52717697
2009/10,S92000003,d,Transfer,,0-44 years,,Female,,Stroke,114,,7.707957655,,7.630214767
2009/10,S92000003,d,Transfer,,0-44 years,,Female,,Subarachnoid Haemorrhage,81,,5.476706755,,5.471451064
2009/10,S92000003,d,Transfer,,0-44 years,,Female,,TIAs and related syndromes,5,,0.338068318,,0.340419536
2009/10,S92000003,d,Transfer,,45-64 years,,All,d,Cerebrovascular Disease,2447,,173.2881335,,175.5104737
2009/10,S92000003,d,Transfer,,45-64 years,,All,d,Stroke,1607,,113.8022192,,115.7759694
2009/10,S92000003,d,Transfer,,45-64 years,,All,d,Subarachnoid Haemorrhage,312,,22.09476814,,21.91136391
2009/10,S92000003,d,Transfer,,45-64 years,,All,d,TIAs and related syndromes,167,,11.82636628,,11.91552255
2009/10,S92000003,d,Transfer,,45-64 years,,Male,,Cerebrovascular Disease,1414,,204.6774738,,206.9487121
2009/10,S92000003,d,Transfer,,45-64 years,,Male,,Stroke,1011,,146.3429462,,148.0947495
2009/10,S92000003,d,Transfer,,45-64 years,,Male,,Subarachnoid Haemorrhage,89,,12.88281129,,12.98313904
2009/10,S92000003,d,Transfer,,45-64 years,,Male,,TIAs and related syndromes,102,,14.76457024,,14.80361347
2009/10,S92000003,d,Transfer,,45-64 years,,Female,,Cerebrovascular Disease,1033,,143.2223787,,144.0722352
2009/10,S92000003,d,Transfer,,45-64 years,,Female,,Stroke,596,,82.633628,,83.45718933
2009/10,S92000003,d,Transfer,,45-64 years,,Female,,Subarachnoid Haemorrhage,223,,30.91828699,,30.83958878
2009/10,S92000003,d,Transfer,,45-64 years,,Female,,TIAs and related syndromes,65,,9.012056745,,9.02743163
2009/10,S92000003,d,Transfer,,65-74 years,,All,d,Cerebrovascular Disease,2870,,605.9121828,,618.8349597
